Action;Method;Parser paragraf;Parser taxapunkt;Parser variant;Parser enhet;Excel rad;Excel taxapunkt;Excel variant;Excel enhet;Excel taxakod;Kommentar
REVIEW;multiple section+tax_point rows;2.2.5;Bottentömmande behållare (mat-/restavfall);;;86;Bottentömmande behållare (mat-/restavfall);Tillägg för två tömningar per vecka;st/tömning;MBRM2VFV;2 befintliga rader delar paragraf+taxapunkt
REUSE;section+tax_point;2.2.5;Lastväxlarflak (restavfall);;;85;Lastväxlarflak (restavfall);Avgift per tömning;st/tömning;LVREFV;"Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word"
REVIEW;multiple section+tax_point rows;2.2.6;Kärl 240 l (mat-/restavfall);;kärl;89;Kärl 240 l (mat-/restavfall);Hämtning varje vecka;st/år;KÄ240RM52DH;3 befintliga rader delar paragraf+taxapunkt
REVIEW;multiple section+tax_point rows;2.2.6;Kärl 370 l (restavfall);;kärl;92;Kärl 370 l (restavfall);Hämtning varje vecka;st/år;KÄ370RE52DH;3 befintliga rader delar paragraf+taxapunkt
REVIEW;multiple section+tax_point rows;2.2.6;Kärl 660 l (restavfall);;kärl;95;Kärl 660 l (restavfall);Hämtning varje vecka;st/år;KÄ660RE52DH;3 befintliga rader delar paragraf+taxapunkt
REVIEW;multiple section+tax_point rows;2.2.6;Kärl 140 l (matavfall);;kärl;98;Kärl 140 l (matavfall);Hämtning varje vecka;st/år;KÄ140MA52DH;3 befintliga rader delar paragraf+taxapunkt
REVIEW;multiple section+tax_point rows;2.2.6;Bottentömmande behållare (mat-/restavfall);;;103;Bottentömmande behållare (mat-/restavfall);Tillägg för två tömningar per vecka;st/tömning;MBRM2VDH;2 befintliga rader delar paragraf+taxapunkt
REUSE;section+tax_point;2.2.6;Lastväxlarflak (restavfall);;;102;Lastväxlarflak (restavfall);Avgift per tömning;st/tömning;LVREDH;"Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word"
REUSE;section+tax_point;2.2.7;Kärl 140 l (kontors-/returpapper);;kärl;106;Kärl 140 l (kontors-/returpapper);;st/år;KÄ140TI;"Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word"
REUSE;section+tax_point;2.2.7;Egen överlämning av förbrukat kontors-/returpapper enligt anvisning;;;379;Egen överlämning av förbrukat kontors-/returpapper enligt anvisning;;st/år;EGENKONTRET;"Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word"
REUSE;section+tax_point;2.2.7;Egen överlämning av förbrukat matfett enligt anvisning;;;108;Egen överlämning av förbrukat matfett enligt anvisning;;st/år;EGENMATFETT;"Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word"
REUSE;section+tax_point;2.3;Viktavgift matavfall;;;111;Viktavgift matavfall;;kr/kg;;"Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word"
REUSE;section+tax_point;2.3;Viktavgift restavfall;;;112;Viktavgift restavfall;;kr/kg;;"Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word"
CREATE;word tax missing from Taxepunkter;2.3;Lyftavgift kärl;;kärl;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
CREATE;word tax missing from Taxepunkter;2.4.1;Fakturavgift;;;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
CREATE;word tax missing from Taxepunkter;2.4.2;Delat kärl 240 l matavfall 40 kg;;kilogram;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
CREATE;word tax missing from Taxepunkter;2.4.2;Delat kärl 240 l restavfall 40 kg;;kilogram;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
CREATE;word tax missing from Taxepunkter;2.4.2;Extra kärl 140 l matavfall 60 kg;;kilogram;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
CREATE;word tax missing from Taxepunkter;2.4.2;Extra kärl 140-190 l restavfall 60 kg;;kilogram;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
CREATE;word tax missing from Taxepunkter;2.4.2;Kärl 370 l restavfall 60 kg;;kilogram;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
CREATE;word tax missing from Taxepunkter;2.4.2;Kärl 660 l restavfall 100 kg;;kilogram;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
REUSE;section+tax_point;2.4.3;Överfullt kärl;;kärl;127;Överfullt kärl;;st/tillfälle/behållare;;"Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word"
REUSE;section+tax_point;2.4.3;Överfull bottentömmande behållare;;;128;Överfull bottentömmande behållare;;st/tillfälle/behållare;;"Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word"
REUSE;section+tax_point;2.4.4;Byte av trasigt kärl vid oaktsamhet;;kärl;131;Byte av trasigt kärl vid oaktsamhet;;st/kärl;;"Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word"
CREATE;word tax missing from Taxepunkter;2.4.5;Byte/återtag av kärl en (1) ggr/år 140–240 liter;;liter;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
CREATE;word tax missing from Taxepunkter;2.4.5;Byte/återtag av kärl en (1) ggr/år 370–660 liter;;liter;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
REUSE;section+tax_point;2.4.5;Ytterligare byte av kärl under kalenderåret;;kärl;136;Ytterligare byte av kärl under kalenderåret;;st/kärl;;"Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word"
REUSE;section+tax_point;2.4.6;Kärl;;kärl;139;Kärl;;st/tillfälle;;"Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word"
REUSE;section+tax_point;2.4.6;Bottentömmande behållare;;;140;Bottentömmande behållare;;st/tillfälle;;"Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word"
CREATE;word tax missing from Taxepunkter;2.4.7;Kärl 140-660 L 1,5-10;;kärl;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
CREATE;word tax missing from Taxepunkter;2.4.7;Kärl 140-660 L 10-20;;kärl;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
CREATE;word tax missing from Taxepunkter;2.4.7;Kärl 140-660 L 20-30;;kärl;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
CREATE;word tax missing from Taxepunkter;2.4.7;Avfallsport/dörr;;;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
REUSE;section+tax_point;2.4.7;Låst dörr, med kod;;;147;Låst dörr, med kod;;st/år;;"Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word"
REUSE;section+tax_point;2.4.8;Kärl 140 l matavfall;;kärl;150;Kärl 140 l matavfall;;st/period;;"Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word"
CREATE;word tax missing from Taxepunkter;2.4.8;Kärl 190 l restavfall;;kärl;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
REUSE;section+tax_point;2.4.8;Kärl 370 l restavfall;;kärl;152;Kärl 370 l restavfall;;st/period;;"Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word"
REUSE;section+tax_point;2.4.8;Kärl 660 l restavfall;;kärl;153;Kärl 660 l restavfall;;st/period;;"Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word"
CREATE;word tax missing from Taxepunkter;2.4.8;Bottentömmande behållare;;;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
REUSE;section+tax_point;2.4.9;Sidlastande fordon;;;157;Sidlastande fordon;;st/tillfälle;;"Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word"
REUSE;section+tax_point;2.4.9;Bottentömmande fordon;;;158;Bottentömmande fordon;;st/tillfälle;;"Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word"
CREATE;word tax missing from Taxepunkter;2.4.9;Tömningsavgift per behållare;;;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
REUSE;section+tax_point;2.4.10;Betalsäck;;;162;Betalsäck;;st/säck;;"Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word"
CREATE;word tax missing from Taxepunkter;2.4.10;Akutsäck;;;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
CREATE;word tax missing from Taxepunkter;2.4.11;Matavfallspåsar 9 L;;;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
REUSE;section+tax_point;2.4.11;Matavfallspåsar 22 L;;;167;Matavfallspåsar 22 L;;bunt;;"Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word"
REUSE;section+tax_point;2.4.11;Gravitationslås till kärl;;kärl;168;Gravitationslås till kärl;;st;;"Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word"
REUSE;section+tax_point;2.4.11;Extra nyckel till gravitationslås;;;169;Extra nyckel till gravitationslås;;st;;"Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word"
REUSE;section+tax_point;2.5.1;Kommunalt avfall;;;172;Kommunalt avfall;;st/tillfälle;;"Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word"
REUSE;section+tax_point;2.5.1;Farligt avfall (ej uppmärkt);;;173;Farligt avfall (ej uppmärkt);;st/tillfälle;;"Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word"
REUSE;section+tax_point;2.5.1;Farligt avfall (uppmärkt);;;174;Farligt avfall (uppmärkt);;st/tillfälle;;"Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word"
CREATE;word tax missing from Taxepunkter;2.5.1;Avisering av ankomst;;;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
CREATE;word tax missing from Taxepunkter;3.1;Upp till 3 m3;;m³;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
REUSE;section+tax_point;3.1;Mellan 3 m3 och 6 m3;;m³;179;Mellan 3 m3 och 6 m3;;kr/tömning;;"Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word"
REUSE;section+tax_point;3.1;Mellan 6 m3 och 9 m3;;m³;180;Mellan 6 m3 och 9 m3;;kr/tömning;;"Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word"
REUSE;section+tax_point;3.1;Tillägg per m3 över 9 m3;;m³;181;Tillägg per m3 över 9 m3;;kr/m3;;"Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word"
REUSE;section+tax_point;3.1;Bad-, disk- och tvättbrunn upp till 3 m3;;m³;182;Bad-, disk- och tvättbrunn upp till 3 m3;;kr/tömning;;"Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word"
CREATE;word tax missing from Taxepunkter;3.1;Tillägg per m3 över 3 m3;;m³;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
CREATE;word tax missing from Taxepunkter;3.2;Dragning av extra slang vid 5-25 m;;;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
REUSE;section+tax_point;3.2;Dragning av extra slang vid 25-35 m;;;187;Dragning av extra slang vid 25-35 m;;kr/tillfälle;;"Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word"
REUSE;section+tax_point;3.2;Dragning av extra slang vid 36-45 m;;;188;Dragning av extra slang vid 36-45 m;;kr/tillfälle;;"Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word"
CREATE;word tax missing from Taxepunkter;3.2;Dragning av extra slang vid 46-55 m;;;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
REUSE;section+tax_point;3.2;Hantering av brunnslock som väger 15-25 kg;;kilogram;190;Hantering av brunnslock som väger 15-25 kg;;kr/tillfälle;;"Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word"
REUSE;section+tax_point;3.2;Krav på information om tömningstid;;;191;Krav på information om tömningstid;;kr/tillfälle;;"Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word"
REUSE;section+tax_point;3.2;Krav på närvaro vid specificerad tömningstid;;;192;Krav på närvaro vid specificerad tömningstid;;kr/tillfälle;;"Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word"
REUSE;section+tax_point;3.2;Hantering av kod för kodlås vid slamtömning;;;193;Hantering av kod för kodlås vid slamtömning;;kr/tillfälle;;"Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word"
REUSE;section+tax_point;3.2;Hetvattentvätt med spolbil, timersättning;;;194;Hetvattentvätt med spolbil, timersättning;;kr/tillfälle;;"Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word"
REUSE;section+tax_point;3.2;Tömning av extra tank/brunn i samband med ordinarie/budad tömning upp till 5 m3;;m³;196;Tömning av extra tank/brunn i samband med ordinarie/budad tömning upp till 5 m3;;kr/tillfälle;;"Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word"
REUSE;section+tax_point;3.3;Budning inom ordinarie tömningsperiod (1 maj- 31 oktober);;;199;Budning inom ordinarie tömningsperiod (1 maj- 31 oktober);Inom 24 timmar;kr/tillfälle;;"Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word"
REVIEW;multiple section+tax_point rows;3.3;Budning utanför ordinarie tömningsperiod (1 nov – 30 april);;;200;Budning utanför ordinarie tömningsperiod (1 nov – 30 april);Inom 24 timmar;kr/tillfälle;;2 befintliga rader delar paragraf+taxapunkt
CREATE;word tax missing from Taxepunkter;3.3;Tömning av toalettvagnar eller liknande /styck;;styck;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
REUSE;section+tax_point;3.4;Latrinbehållare 37 liter inkl. mottagning och behandling;;liter;208;Latrinbehållare 37 liter inkl. mottagning och behandling;;st;;"Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word"
REUSE;section+tax_point;4.1;Filtermassor upp till 500 kg;;kilogram;211;Filtermassor upp till 500 kg;Budad hämtning inom sju (7) arbetsdagar;kr/tillfälle;;"Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word"
REVIEW;multiple section+tax_point rows;4.1;Filtermassor 500-1000 kg;;kilogram;212;Filtermassor 500-1000 kg;Budad hämtning inom sju (7) arbetsdagar;kr/tillfälle;;2 befintliga rader delar paragraf+taxapunkt
REUSE;section+tax_point;4.2;Krav på information om hämtningstid;;;217;Krav på information om hämtningstid;;kr/tillfälle;;"Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word"
REUSE;section+tax_point;4.2;Krav på närvaro vid specificerad hämtningstid;;;218;Krav på närvaro vid specificerad hämtningstid;;kr/tillfälle;;"Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word"
REUSE;section+tax_point;4.2;Hantering av kod för kodlås;;;219;Hantering av kod för kodlås;;kr/tillfälle;;"Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word"
REUSE;section+tax_point;5.1;Upp till 3 m3;;m³;223;Upp till 3 m3;Tömning, transport och behandling av fettavskiljare/tank enligt anmält tömningsintervall;kr/tillfälle;;"Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word"
REVIEW;multiple section+tax_point rows;5.1;Mellan 3 m3 och 6 m3;;m³;224;Mellan 3 m3 och 6 m3;Tömning, transport och behandling av fettavskiljare/tank enligt anmält tömningsintervall;kr/tillfälle;;2 befintliga rader delar paragraf+taxapunkt
REVIEW;multiple section+tax_point rows;5.1;Över 6 m3;;m³;225;Över 6 m3;Tömning, transport och behandling av fettavskiljare/tank enligt anmält tömningsintervall;kr/tillfälle;;2 befintliga rader delar paragraf+taxapunkt
REUSE;section+tax_point;5.2;Dragning av extra slang vid 5-25 m;;;231;Dragning av extra slang vid 5-25 m;;kr/tillfälle;;"Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word"
REUSE;section+tax_point;5.2;Dragning av extra slang vid 25-35 m;;;232;Dragning av extra slang vid 25-35 m;;kr/tillfälle;;"Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word"
REUSE;section+tax_point;5.2;Dragning av extra slang vid 36-45 m;;;233;Dragning av extra slang vid 36-45 m;;kr/tillfälle;;"Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word"
CREATE;word tax missing from Taxepunkter;5.2;Dragning av extra slang vid 46-55 m;;;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
REUSE;section+tax_point;5.2;Hantering av brunnslock som väger 15-25 kg;;kilogram;235;Hantering av brunnslock som väger 15-25 kg;;kr/tillfälle;;"Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word"
REUSE;section+tax_point;5.2;Krav på information om tömningstid;;;236;Krav på information om tömningstid;;kr/tillfälle;;"Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word"
CREATE;word tax missing from Taxepunkter;5.2;Krav på närvaro vid specificerad tömningstid;;;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
REUSE;section+tax_point;5.2;Hantering av kod för kodlås vid tömning;;tömning;238;Hantering av kod för kodlås vid tömning;;kr/tillfälle;;"Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word"
REUSE;section+tax_point;5.2;Hetvattentvätt med spolbil, timersättning;;;239;Hetvattentvätt med spolbil, timersättning;;kr/tillfälle;;"Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word"
REUSE;section+tax_point;5.2;Silikontätning per lock;;;240;Silikontätning per lock;;kr/tillfälle;;"Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word"
REUSE;section+tax_point;5.2;Tömning av extra tank i samband med ordinarie/budad tömning upp till 5 m3;;m³;242;Tömning av extra tank i samband med ordinarie/budad tömning upp till 5 m3;;kr/tillfälle;;"Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word"
REVIEW;multiple section+tax_point rows;5.3;Budning inom ordinarie tömningsperiod (1 maj- 31 oktober);;;245;Budning inom ordinarie tömningsperiod (1 maj- 31 oktober);Inom 48 timmar;kr/tillfälle;;2 befintliga rader delar paragraf+taxapunkt
REVIEW;multiple section+tax_point rows;5.3;Budning utanför ordinarie tömningsperiod;;;246;Budning utanför ordinarie tömningsperiod;Inom 48 timmar;kr/tillfälle;;2 befintliga rader delar paragraf+taxapunkt
REUSE;section+tax_point;6.1.1;Verksamheter;;;253;Verksamheter;;kr/besök;;"Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word"
REUSE;section+tax_point;6.1.1;Övriga abonnemangstyper;;;254;Övriga abonnemangstyper;;kr/besök;;"Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word"
REUSE;section+tax_point;6.1.1;Vågkort;;;255;Vågkort;;kr/besök;;"Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word"
REUSE;section+tax_point;6.1.1;Borttappat vågkort;;;256;Borttappat vågkort;;kr/besök;;"Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word"
CREATE;word tax missing from Taxepunkter;6.1.1;Ej redovisad ankomst till ÅVC (för företagare och privatpersoner som lämnar verksamhetsavfall utan att anmäla sin ankomst);;besök;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
CREATE;word tax missing from Taxepunkter;6.1.1;Ej redovisad eller fel redovisad fraktion av avfall;;fraktion;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
CREATE;word tax missing from Taxepunkter;6.1.2;Avfall till energiåtervinning (240 L sopsäck);;styck;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
CREATE;word tax missing from Taxepunkter;6.1.2;Avfall till energiåtervinning;;kilogram;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
CREATE;word tax missing from Taxepunkter;6.1.2;Skrymmande avfall till energiåtervinning större än 20×20×80;;kilogram;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
REUSE;section+tax_point;6.1.2;Träavfall – obehandlat, utan tapet, plastmatta, tjärpapp;;kilogram;262;Träavfall – obehandlat, utan tapet, plastmatta, tjärpapp;;kr/ton;;"Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word"
REUSE;section+tax_point;6.1.2;Träavfall – behandlat, utan tapet, plastmatta, tjärpapp;;kilogram;263;Träavfall – behandlat, utan tapet, plastmatta, tjärpapp;;kr/ton;;"Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word"
CREATE;word tax missing from Taxepunkter;6.1.2;Tryckimpregnerat virke, pall;;kilogram;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
CREATE;word tax missing from Taxepunkter;6.1.2;Betong, lättbetong;;kilogram;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
CREATE;word tax missing from Taxepunkter;6.1.2;Gips, gipsskivor;;kilogram;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
REUSE;section+tax_point;6.1.2;Tegel;;kilogram;267;Tegel;;kr/ton;;"Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word"
CREATE;word tax missing from Taxepunkter;6.1.2;Fönster- och planglas utan karm;;kilogram;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
REUSE;section+tax_point;6.1.2;Fönster med karm;;;269;Fönster med karm;;kr/ton;;"Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word"
CREATE;word tax missing from Taxepunkter;6.1.2;Plast;;kilogram;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
REUSE;section+tax_point;6.1.2;Isolering utan innehåll av asbest;;m³;270;Isolering utan innehåll av asbest;;kr/ton;;"Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word"
CREATE;word tax missing from Taxepunkter;6.1.2;Klinker, keramik, porslin;;kilogram;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
