Status;Score;Metod;Parser paragraf;Parser taxapunkt;Parser variant;Parser enhet;Föreslagen strTaxekod;Föreslagen strTaxebenamning;Föreslagen strFaktor;Föreslagen strTaxedelAvser;Föreslagen strFormel;Källa;Kommentar
NO_SUGGESTION;0.118;Knowledge weighted standard match;2.2.3;Fysisk nyckel, kallad fob (engångskostnad);;;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.118;Knowledge weighted standard match;2.2.3;Byte av telefonnummer kopplat till licens;;;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.152;Knowledge weighted standard match;2.2.3;Kostnad för öppning av behållare;;;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.092;Knowledge weighted standard match;2.2.4;Kärl 240 l (mat-/restavfall);;kärl;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.098;Knowledge weighted standard match;2.2.4;Kärl 370 l (restavfall);;kärl;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.098;Knowledge weighted standard match;2.2.4;Kärl 660 l (restavfall);;kärl;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.095;Knowledge weighted standard match;2.2.4;Kärl 140 l (matavfall);;kärl;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.440;Knowledge weighted standard match;2.2.4;Kärl 190 l (förpackningar);;kärl;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.440;Knowledge weighted standard match;2.2.4;Kärl 370 l (förpackningar);;kärl;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.440;Knowledge weighted standard match;2.2.4;Kärl 660 l (förpackningar);;kärl;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.104;Knowledge weighted standard match;2.2.4;Kärl 190 l (tidningar och returpapper);;kärl;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.104;Knowledge weighted standard match;2.2.4;Kärl 370 l (tidningar och returpapper);;kärl;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.267;Knowledge weighted standard match;2.2.4;(mat-/restavfall, förpackningar);;;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.092;Knowledge weighted standard match;2.2.5;Kärl 240 l (mat-/restavfall);;kärl;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.098;Knowledge weighted standard match;2.2.5;Kärl 370 l (restavfall);;kärl;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.098;Knowledge weighted standard match;2.2.5;Kärl 660 l (restavfall);;kärl;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.095;Knowledge weighted standard match;2.2.5;Kärl 140 l (matavfall);;kärl;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.122;Knowledge weighted standard match;2.2.5;Bottentömmande behållare (mat-/restavfall);;;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.126;Knowledge weighted standard match;2.2.5;Lastväxlarflak (restavfall);;;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.092;Knowledge weighted standard match;2.2.6;Kärl 240 l (mat-/restavfall);;kärl;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.098;Knowledge weighted standard match;2.2.6;Kärl 370 l (restavfall);;kärl;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.098;Knowledge weighted standard match;2.2.6;Kärl 660 l (restavfall);;kärl;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.095;Knowledge weighted standard match;2.2.6;Kärl 140 l (matavfall);;kärl;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.122;Knowledge weighted standard match;2.2.6;Bottentömmande behållare (mat-/restavfall);;;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.126;Knowledge weighted standard match;2.2.6;Lastväxlarflak (restavfall);;;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.090;Knowledge weighted standard match;2.2.7;Kärl 140 l (kontors-/returpapper);;kärl;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.134;Knowledge weighted standard match;2.2.7;Egen överlämning av förbrukat kontors-/returpapper enligt anvisning;;;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.142;Knowledge weighted standard match;2.2.7;Egen överlämning av förbrukat matfett enligt anvisning;;;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.124;Knowledge weighted standard match;2.3;Viktavgift matavfall;;;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.117;Knowledge weighted standard match;2.3;Viktavgift restavfall;;;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.092;Knowledge weighted standard match;2.3;Lyftavgift kärl;;kärl;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.090;Knowledge weighted standard match;2.4.1;Fakturavgift;;;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.112;Knowledge weighted standard match;2.4.2;Delat kärl 240 l matavfall 40 kg;;kilogram;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.104;Knowledge weighted standard match;2.4.2;Delat kärl 240 l restavfall 40 kg;;kilogram;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.117;Knowledge weighted standard match;2.4.2;Extra kärl 140 l matavfall 60 kg;;kilogram;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.089;Knowledge weighted standard match;2.4.2;Extra kärl 140-190 l restavfall 60 kg;;kilogram;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.109;Knowledge weighted standard match;2.4.2;Kärl 370 l restavfall 60 kg;;kilogram;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.108;Knowledge weighted standard match;2.4.2;Kärl 660 l restavfall 100 kg;;kilogram;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.111;Knowledge weighted standard match;2.4.3;Överfullt kärl;;kärl;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.120;Knowledge weighted standard match;2.4.3;Överfull bottentömmande behållare;;;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.115;Knowledge weighted standard match;2.4.4;Byte av trasigt kärl vid oaktsamhet;;kärl;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.079;Knowledge weighted standard match;2.4.5;Byte/återtag av kärl en (1) ggr/år 140–240 liter;;liter;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.079;Knowledge weighted standard match;2.4.5;Byte/återtag av kärl en (1) ggr/år 370–660 liter;;liter;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.099;Knowledge weighted standard match;2.4.5;Ytterligare byte av kärl under kalenderåret;;kärl;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.074;Knowledge weighted standard match;2.4.6;Kärl;;kärl;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.115;Knowledge weighted standard match;2.4.6;Bottentömmande behållare;;;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.057;Knowledge weighted standard match;2.4.7;Kärl 140-660 L 1,5-10;;kärl;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.060;Knowledge weighted standard match;2.4.7;Kärl 140-660 L 10-20;;kärl;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.060;Knowledge weighted standard match;2.4.7;Kärl 140-660 L 20-30;;kärl;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.140;Knowledge weighted standard match;2.4.7;Avfallsport/dörr;;;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.114;Knowledge weighted standard match;2.4.7;Låst dörr, med kod;;;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.098;Knowledge weighted standard match;2.4.8;Kärl 140 l matavfall;;kärl;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.102;Knowledge weighted standard match;2.4.8;Kärl 190 l restavfall;;kärl;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.102;Knowledge weighted standard match;2.4.8;Kärl 370 l restavfall;;kärl;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.102;Knowledge weighted standard match;2.4.8;Kärl 660 l restavfall;;kärl;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.115;Knowledge weighted standard match;2.4.8;Bottentömmande behållare;;;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.131;Knowledge weighted standard match;2.4.9;Sidlastande fordon;;;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.117;Knowledge weighted standard match;2.4.9;Bottentömmande fordon;;;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.152;Knowledge weighted standard match;2.4.9;Tömningsavgift per behållare;;;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.114;Knowledge weighted standard match;2.4.10;Betalsäck;;;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.080;Knowledge weighted standard match;2.4.10;Akutsäck;;;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.117;Knowledge weighted standard match;2.4.11;Matavfallspåsar 9 L;;;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.115;Knowledge weighted standard match;2.4.11;Matavfallspåsar 22 L;;;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.113;Knowledge weighted standard match;2.4.11;Gravitationslås till kärl;;kärl;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.103;Knowledge weighted standard match;2.4.11;Extra nyckel till gravitationslås;;;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.089;Knowledge weighted standard match;2.5.1;Kommunalt avfall;;;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.113;Knowledge weighted standard match;2.5.1;Farligt avfall (ej uppmärkt);;;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.119;Knowledge weighted standard match;2.5.1;Farligt avfall (uppmärkt);;;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.154;Knowledge weighted standard match;2.5.1;Avisering av ankomst;;;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.095;Knowledge weighted standard match;3.1;Upp till 3 m3;;m³;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.089;Knowledge weighted standard match;3.1;Mellan 3 m3 och 6 m3;;m³;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.089;Knowledge weighted standard match;3.1;Mellan 6 m3 och 9 m3;;m³;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.113;Knowledge weighted standard match;3.1;Tillägg per m3 över 9 m3;;m³;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.100;Knowledge weighted standard match;3.1;Bad-, disk- och tvättbrunn upp till 3 m3;;m³;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.113;Knowledge weighted standard match;3.1;Tillägg per m3 över 3 m3;;m³;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.126;Knowledge weighted standard match;3.2;Dragning av extra slang vid 5-25 m;;;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.125;Knowledge weighted standard match;3.2;Dragning av extra slang vid 25-35 m;;;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.125;Knowledge weighted standard match;3.2;Dragning av extra slang vid 36-45 m;;;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.125;Knowledge weighted standard match;3.2;Dragning av extra slang vid 46-55 m;;;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.133;Knowledge weighted standard match;3.2;Hantering av brunnslock som väger 15-25 kg;;kilogram;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.131;Knowledge weighted standard match;3.2;Krav på information om tömningstid;;;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.140;Knowledge weighted standard match;3.2;Krav på närvaro vid specificerad tömningstid;;;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.147;Knowledge weighted standard match;3.2;Hantering av kod för kodlås vid slamtömning;;;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.113;Knowledge weighted standard match;3.2;Hetvattentvätt med spolbil, timersättning;;;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.167;Knowledge weighted standard match;3.2;Tömning av extra tank/brunn i samband med ordinarie/budad tömning upp till 5 m3;;m³;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.134;Knowledge weighted standard match;3.3;Budning inom ordinarie tömningsperiod (1 maj- 31 oktober);;;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.147;Knowledge weighted standard match;3.3;Budning utanför ordinarie tömningsperiod (1 nov – 30 april);;;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.392;Knowledge weighted standard match;3.3;Tömning av toalettvagnar eller liknande /styck;;styck;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.134;Knowledge weighted standard match;3.4;Latrinbehållare 37 liter inkl. mottagning och behandling;;liter;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.107;Knowledge weighted standard match;4.1;Filtermassor upp till 500 kg;;kilogram;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.091;Knowledge weighted standard match;4.1;Filtermassor 500-1000 kg;;kilogram;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.132;Knowledge weighted standard match;4.2;Krav på information om hämtningstid;;;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.122;Knowledge weighted standard match;4.2;Krav på närvaro vid specificerad hämtningstid;;;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.142;Knowledge weighted standard match;4.2;Hantering av kod för kodlås;;;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.095;Knowledge weighted standard match;5.1;Upp till 3 m3;;m³;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.089;Knowledge weighted standard match;5.1;Mellan 3 m3 och 6 m3;;m³;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.078;Knowledge weighted standard match;5.1;Över 6 m3;;m³;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.126;Knowledge weighted standard match;5.2;Dragning av extra slang vid 5-25 m;;;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.125;Knowledge weighted standard match;5.2;Dragning av extra slang vid 25-35 m;;;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.125;Knowledge weighted standard match;5.2;Dragning av extra slang vid 36-45 m;;;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.125;Knowledge weighted standard match;5.2;Dragning av extra slang vid 46-55 m;;;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.133;Knowledge weighted standard match;5.2;Hantering av brunnslock som väger 15-25 kg;;kilogram;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.131;Knowledge weighted standard match;5.2;Krav på information om tömningstid;;;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.140;Knowledge weighted standard match;5.2;Krav på närvaro vid specificerad tömningstid;;;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.179;Knowledge weighted standard match;5.2;Hantering av kod för kodlås vid tömning;;tömning;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.113;Knowledge weighted standard match;5.2;Hetvattentvätt med spolbil, timersättning;;;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.153;Knowledge weighted standard match;5.2;Silikontätning per lock;;;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.182;Knowledge weighted standard match;5.2;Tömning av extra tank i samband med ordinarie/budad tömning upp till 5 m3;;m³;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.134;Knowledge weighted standard match;5.3;Budning inom ordinarie tömningsperiod (1 maj- 31 oktober);;;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.153;Knowledge weighted standard match;5.3;Budning utanför ordinarie tömningsperiod;;;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.117;Knowledge weighted standard match;6.1.1;Verksamheter;;;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.121;Knowledge weighted standard match;6.1.1;Övriga abonnemangstyper;;;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.095;Knowledge weighted standard match;6.1.1;Vågkort;;;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.102;Knowledge weighted standard match;6.1.1;Borttappat vågkort;;;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.084;Knowledge weighted standard match;6.1.1;Ej redovisad ankomst till ÅVC (för företagare och privatpersoner som lämnar verksamhetsavfall utan att anmäla sin ankomst);;besök;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.094;Knowledge weighted standard match;6.1.1;Ej redovisad eller fel redovisad fraktion av avfall;;fraktion;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.322;Knowledge weighted standard match;6.1.2;Avfall till energiåtervinning (240 L sopsäck);;styck;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.164;Knowledge weighted standard match;6.1.2;Avfall till energiåtervinning;;kilogram;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.112;Knowledge weighted standard match;6.1.2;Skrymmande avfall till energiåtervinning större än 20×20×80;;kilogram;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.145;Knowledge weighted standard match;6.1.2;Träavfall – obehandlat, utan tapet, plastmatta, tjärpapp;;kilogram;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.147;Knowledge weighted standard match;6.1.2;Träavfall – behandlat, utan tapet, plastmatta, tjärpapp;;kilogram;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.102;Knowledge weighted standard match;6.1.2;Tryckimpregnerat virke, pall;;kilogram;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.124;Knowledge weighted standard match;6.1.2;Betong, lättbetong;;kilogram;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.072;Knowledge weighted standard match;6.1.2;Gips, gipsskivor;;kilogram;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.091;Knowledge weighted standard match;6.1.2;Tegel;;kilogram;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.131;Knowledge weighted standard match;6.1.2;Fönster- och planglas utan karm;;kilogram;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.119;Knowledge weighted standard match;6.1.2;Fönster med karm;;;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.350;Knowledge weighted standard match;6.1.2;Plast;;kilogram;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.127;Knowledge weighted standard match;6.1.2;Isolering utan innehåll av asbest;;m³;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.114;Knowledge weighted standard match;6.1.2;Klinker, keramik, porslin;;kilogram;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.305;Knowledge weighted standard match;6.1.2;Handfat;;styck;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.284;Knowledge weighted standard match;6.1.2;WC-stol;;styck;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.364;Knowledge weighted standard match;6.1.2;Metall;;kilogram;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.087;Knowledge weighted standard match;6.1.2;Textilier;;kilogram;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.095;Knowledge weighted standard match;6.1.2;Fiskeredskap;;kilogram;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.087;Knowledge weighted standard match;6.1.2;Ätbart fett/frityrolja;;liter;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.129;Knowledge weighted standard match;6.1.2;Kvistar och grenar;;m³;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.061;Knowledge weighted standard match;6.1.2;Jord;;;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.127;Knowledge weighted standard match;6.1.2;Sten;;;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.144;Knowledge weighted standard match;6.1.2;Stubbar/rötter för krossning;;;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.105;Knowledge weighted standard match;6.1.2;Flera fraktioner för egen sortering på ramp (max 2 m³);;m³;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.095;Knowledge weighted standard match;6.1.2;Osorterat avfall till sortering (ej innehåll av farligt avfall och elavfall);;;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.106;Knowledge weighted standard match;6.1.2;Tonerkassetter, utan elektronik/chip;;kilogram;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.100;Knowledge weighted standard match;6.1.2;Oljeemulsion, emballerat;;kilogram;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.140;Knowledge weighted standard match;6.1.2;Förorenad olja innehållande PCB;;kilogram;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.117;Knowledge weighted standard match;6.1.2;Oljeavskiljarslam;;kilogram;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.093;Knowledge weighted standard match;6.1.2;Diesel;;kilogram;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.140;Knowledge weighted standard match;6.1.2;Bensinrester;;kilogram;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.138;Knowledge weighted standard match;6.1.2;Hydralslang, med/utan koppling;;kilogram;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.396;Knowledge weighted standard match;6.1.2;Förpackningar, tömde ej rengjorda;;kilogram;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.125;Knowledge weighted standard match;6.1.2;Oljeavfall, fast osorterat emba;;kilogram;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.109;Knowledge weighted standard match;6.1.2;Absorbermedel, filtermaterial;;kilogram;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.100;Knowledge weighted standard match;6.1.2;Oljefilter;;kilogram;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.076;Knowledge weighted standard match;6.1.2;Bromsvätska;;kilogram;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.127;Knowledge weighted standard match;6.1.2;Transformator, kondensator med PCB;;kilogram;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.056;Knowledge weighted standard match;6.1.2;Fogskum;;kilogram;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.105;Knowledge weighted standard match;6.1.2;Halon;;kilogram;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.075;Knowledge weighted standard match;6.1.2;Koldioxid;;kilogram;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.137;Knowledge weighted standard match;6.1.2;Brandsläckare;;kilogram;;;;;;;Ingen tillräckligt stark kunskapsträff.
NO_SUGGESTION;0.100;Knowledge weighted standard match;6.1.2;Helium;;kilogram;;;;;;;Ingen tillräckligt stark kunskapsträff.
