WordTaxID;Status;Metod;Confidence;Word paragraf;Word taxapunkt;Word variant;Word enhet;Excel rad;Excel paragraf;Excel taxapunkt;Excel variant;Excel enhet;Excel taxakod;Duplicate EDP allowed;Kommentar
WTX-2-2-4-BF4F56C7-01;REVIEW;multiple section+tax_point rows;0.6;2.2.4;Kärl 190 l (förpackningar);;kärl;50;§2.2.4;Kärl 190 l (förpackningar);Hämtning varje vecka;st/år;;YES;3 Excel-rader delar paragraf och taxepunkt. Kräver granskning men är inte automatiskt fel.
WTX-2-2-4-13866FDD-01;REVIEW;multiple section+tax_point rows;0.6;2.2.4;Kärl 370 l (förpackningar);;kärl;53;§2.2.4;Kärl 370 l (förpackningar);Hämtning varje vecka;st/år;;YES;3 Excel-rader delar paragraf och taxepunkt. Kräver granskning men är inte automatiskt fel.
WTX-2-2-4-21AC3B1E-01;REVIEW;multiple section+tax_point rows;0.6;2.2.4;Kärl 660 l (förpackningar);;kärl;56;§2.2.4;Kärl 660 l (förpackningar);Hämtning varje vecka;st/år;;YES;3 Excel-rader delar paragraf och taxepunkt. Kräver granskning men är inte automatiskt fel.
WTX-2-2-4-AB72D7D0-01;REVIEW;multiple section+tax_point rows;0.6;2.2.4;Kärl 190 l (tidningar och returpapper);;kärl;59;§2.2.4;Kärl 190 l (tidningar och returpapper);Hämtning varje vecka;st/år;;YES;3 Excel-rader delar paragraf och taxepunkt. Kräver granskning men är inte automatiskt fel.
WTX-2-2-4-003F45C0-01;REVIEW;multiple section+tax_point rows;0.6;2.2.4;Kärl 370 l (tidningar och returpapper);;kärl;62;§2.2.4;Kärl 370 l (tidningar och returpapper);Hämtning varje vecka;st/år;;YES;3 Excel-rader delar paragraf och taxepunkt. Kräver granskning men är inte automatiskt fel.
WTX-2-2-4-F2A2FB32-01;MISSING;no Taxepunkter row;0.0;2.2.4;(mat-/restavfall, förpackningar);;;;;;;;;YES;Word-raden saknar motsvarande rad i Taxepunkter.
WTX-2-2-5-C95D88A8-01;REVIEW;multiple section+tax_point rows;0.6;2.2.5;Kärl 240 l (mat-/restavfall);;kärl;69;§2.2.5;Kärl 240 l (mat-/restavfall);Hämtning varje vecka;st/år;;YES;3 Excel-rader delar paragraf och taxepunkt. Kräver granskning men är inte automatiskt fel.
WTX-2-2-5-324DC995-01;REVIEW;multiple section+tax_point rows;0.6;2.2.5;Kärl 370 l (restavfall);;kärl;72;§2.2.5;Kärl 370 l (restavfall);Hämtning varje vecka;st/år;;YES;3 Excel-rader delar paragraf och taxepunkt. Kräver granskning men är inte automatiskt fel.
WTX-2-2-5-8A3F7EE4-01;REVIEW;multiple section+tax_point rows;0.6;2.2.5;Kärl 660 l (restavfall);;kärl;75;§2.2.5;Kärl 660 l (restavfall);Hämtning varje vecka;st/år;;YES;3 Excel-rader delar paragraf och taxepunkt. Kräver granskning men är inte automatiskt fel.
WTX-2-2-5-6EFC63C2-01;REVIEW;multiple section+tax_point rows;0.6;2.2.5;Kärl 140 l (matavfall);;kärl;78;§2.2.5;Kärl 140 l (matavfall);Hämtning varje vecka;st/år;;YES;3 Excel-rader delar paragraf och taxepunkt. Kräver granskning men är inte automatiskt fel.
WTX-2-2-5-B3EF08A2-01;REVIEW;multiple section+tax_point rows;0.6;2.2.5;Bottentömmande behållare (mat-/restavfall);;;81;§2.2.5;Bottentömmande behållare (mat-/restavfall);Avgift per tömning;st/tömning;;YES;2 Excel-rader delar paragraf och taxepunkt. Kräver granskning men är inte automatiskt fel.
WTX-2-2-5-CE394662-01;MAPPED;section+tax_point;0.75;2.2.5;Lastväxlarflak (restavfall);;;82;§2.2.5;Lastväxlarflak (restavfall);Avgift per tömning;st/tömning;;YES;Word-raden finns i Taxepunkter men variant eller enhet skiljer.
WTX-2-2-6-E4B45E25-01;REVIEW;multiple section+tax_point rows;0.6;2.2.6;Kärl 240 l (mat-/restavfall);;kärl;85;§2.2.6;Kärl 240 l (mat-/restavfall);Hämtning varje vecka;st/år;;YES;3 Excel-rader delar paragraf och taxepunkt. Kräver granskning men är inte automatiskt fel.
WTX-2-2-6-5BD56AE6-01;REVIEW;multiple section+tax_point rows;0.6;2.2.6;Kärl 370 l (restavfall);;kärl;88;§2.2.6;Kärl 370 l (restavfall);Hämtning varje vecka;st/år;;YES;3 Excel-rader delar paragraf och taxepunkt. Kräver granskning men är inte automatiskt fel.
WTX-2-2-6-6674120A-01;REVIEW;multiple section+tax_point rows;0.6;2.2.6;Kärl 660 l (restavfall);;kärl;91;§2.2.6;Kärl 660 l (restavfall);Hämtning varje vecka;st/år;;YES;3 Excel-rader delar paragraf och taxepunkt. Kräver granskning men är inte automatiskt fel.
WTX-2-2-6-52C538D2-01;REVIEW;multiple section+tax_point rows;0.6;2.2.6;Kärl 140 l (matavfall);;kärl;94;§2.2.6;Kärl 140 l (matavfall);Hämtning varje vecka;st/år;;YES;3 Excel-rader delar paragraf och taxepunkt. Kräver granskning men är inte automatiskt fel.
WTX-2-2-6-D9CB98E7-01;REVIEW;multiple section+tax_point rows;0.6;2.2.6;Bottentömmande behållare (mat-/restavfall);;;97;§2.2.6;Bottentömmande behållare (mat-/restavfall);Avgift per tömning;st/tömning;;YES;2 Excel-rader delar paragraf och taxepunkt. Kräver granskning men är inte automatiskt fel.
WTX-2-2-6-0AD0B832-01;MAPPED;section+tax_point;0.75;2.2.6;Lastväxlarflak (restavfall);;;98;§2.2.6;Lastväxlarflak (restavfall);Avgift per tömning;st/tömning;;YES;Word-raden finns i Taxepunkter men variant eller enhet skiljer.
WTX-2-2-7-A3CC7E20-01;MAPPED;section+tax_point;0.75;2.2.7;Kärl 140 l (kontors-/returpapper);;kärl;101;§2.2.7;Kärl 140 l (kontors-/returpapper);Avgift per tömning;st/tömning;;YES;Word-raden finns i Taxepunkter men variant eller enhet skiljer.
WTX-2-2-7-EDD305D3-01;MAPPED;section+tax_point;0.75;2.2.7;Egen överlämning av förbrukat kontors-/returpapper enligt anvisning;;;102;§2.2.7;Egen överlämning av förbrukat kontors-/returpapper enligt anvisning;Avgift per tömning;st/tömning;;YES;Word-raden finns i Taxepunkter men variant eller enhet skiljer.
WTX-2-2-7-3D0F5E75-01;MAPPED;section+tax_point;0.75;2.2.7;Egen överlämning av förbrukat matfett enligt anvisning;;;103;§2.2.7;Egen överlämning av förbrukat matfett enligt anvisning;Avgift per tömning;st/tömning;;YES;Word-raden finns i Taxepunkter men variant eller enhet skiljer.
WTX-2-3-EC152D91-01;MISSING;no Taxepunkter row;0.0;2.3;Viktavgift matavfall;;;;;;;;;YES;Word-raden saknar motsvarande rad i Taxepunkter.
WTX-2-3-B2A59341-01;MISSING;no Taxepunkter row;0.0;2.3;Viktavgift restavfall;;;;;;;;;YES;Word-raden saknar motsvarande rad i Taxepunkter.
WTX-2-3-860FD1D7-01;MISSING;no Taxepunkter row;0.0;2.3;Lyftavgift kärl;;kärl;;;;;;;YES;Word-raden saknar motsvarande rad i Taxepunkter.
WTX-2-4-1-599292AB-01;MISSING;no Taxepunkter row;0.0;2.4.1;Fakturavgift;;;;;;;;;YES;Word-raden saknar motsvarande rad i Taxepunkter.
WTX-2-4-2-012DC104-01;MISSING;no Taxepunkter row;0.0;2.4.2;Delat kärl 240 l matavfall 40 kg;;kilogram;;;;;;;YES;Word-raden saknar motsvarande rad i Taxepunkter.
WTX-2-4-2-12FC6812-01;MISSING;no Taxepunkter row;0.0;2.4.2;Delat kärl 240 l restavfall 40 kg;;kilogram;;;;;;;YES;Word-raden saknar motsvarande rad i Taxepunkter.
WTX-2-4-2-D180BF41-01;MISSING;no Taxepunkter row;0.0;2.4.2;Extra kärl 140 l matavfall 60 kg;;kilogram;;;;;;;YES;Word-raden saknar motsvarande rad i Taxepunkter.
WTX-2-4-2-0BF8ED71-01;MISSING;no Taxepunkter row;0.0;2.4.2;Extra kärl 140-190 l restavfall 60 kg;;kilogram;;;;;;;YES;Word-raden saknar motsvarande rad i Taxepunkter.
WTX-2-4-2-2C84BAC6-01;MISSING;no Taxepunkter row;0.0;2.4.2;Kärl 370 l restavfall 60 kg;;kilogram;;;;;;;YES;Word-raden saknar motsvarande rad i Taxepunkter.
WTX-2-4-2-E01FAB41-01;MISSING;no Taxepunkter row;0.0;2.4.2;Kärl 660 l restavfall 100 kg;;kilogram;;;;;;;YES;Word-raden saknar motsvarande rad i Taxepunkter.
WTX-2-4-3-893E17AD-01;MAPPED;section+tax_point;0.75;2.4.3;Överfullt kärl;;kärl;121;§2.4.3;Överfullt kärl;;st/tillfälle/behållare;;YES;Word-raden finns i Taxepunkter men variant eller enhet skiljer.
WTX-2-4-3-AF92F6D3-01;MAPPED;section+tax_point;0.75;2.4.3;Överfull bottentömmande behållare;;;122;§2.4.3;Överfull bottentömmande behållare;;st/tillfälle/behållare;;YES;Word-raden finns i Taxepunkter men variant eller enhet skiljer.
WTX-2-4-4-D3BAF28D-01;MAPPED;section+tax_point;0.75;2.4.4;Byte av trasigt kärl vid oaktsamhet;;kärl;124;§2.4.4;Byte av trasigt kärl vid oaktsamhet;;st/kärl;;YES;Word-raden finns i Taxepunkter men variant eller enhet skiljer.
WTX-2-4-5-3FB6AD13-01;MISSING;no Taxepunkter row;0.0;2.4.5;Byte/återtag av kärl en (1) ggr/år 140–240 liter;;liter;;;;;;;YES;Word-raden saknar motsvarande rad i Taxepunkter.
WTX-2-4-5-80B57497-01;MISSING;no Taxepunkter row;0.0;2.4.5;Byte/återtag av kärl en (1) ggr/år 370–660 liter;;liter;;;;;;;YES;Word-raden saknar motsvarande rad i Taxepunkter.
WTX-2-4-5-240D8EBA-01;MAPPED;section+tax_point;0.75;2.4.5;Ytterligare byte av kärl under kalenderåret;;kärl;129;§2.4.5;Ytterligare byte av kärl under kalenderåret;;st/kärl;;YES;Word-raden finns i Taxepunkter men variant eller enhet skiljer.
WTX-2-4-6-98CF8ADC-01;MAPPED;section+tax_point;0.75;2.4.6;Kärl;;kärl;131;§2.4.6;Kärl;;st/tillfälle;FELSORT;YES;Word-raden finns i Taxepunkter men variant eller enhet skiljer. Samma EDP-taxa (FELSORT) används av 2 Word-rader. Det är tillåtet och ska inte klassas som fel utan annan konflikt.
WTX-2-4-6-82A21ADE-01;MAPPED;section+tax_point;0.75;2.4.6;Bottentömmande behållare;;;132;§2.4.6;Bottentömmande behållare;;st/tillfälle;FELSORT;YES;Word-raden finns i Taxepunkter men variant eller enhet skiljer. Samma EDP-taxa (FELSORT) används av 2 Word-rader. Det är tillåtet och ska inte klassas som fel utan annan konflikt.
WTX-2-4-7-542399A3-01;MISSING;no Taxepunkter row;0.0;2.4.7;Kärl 140-660 L 1,5-10;;kärl;;;;;;;YES;Word-raden saknar motsvarande rad i Taxepunkter.
WTX-2-4-7-AE7199F4-01;MISSING;no Taxepunkter row;0.0;2.4.7;Kärl 140-660 L 10-20;;kärl;;;;;;;YES;Word-raden saknar motsvarande rad i Taxepunkter.
WTX-2-4-7-AEEF240E-01;MISSING;no Taxepunkter row;0.0;2.4.7;Kärl 140-660 L 20-30;;kärl;;;;;;;YES;Word-raden saknar motsvarande rad i Taxepunkter.
WTX-2-4-7-B8941668-01;MISSING;no Taxepunkter row;0.0;2.4.7;Avfallsport/dörr;;;;;;;;;YES;Word-raden saknar motsvarande rad i Taxepunkter.
WTX-2-4-7-5A487AC8-01;MAPPED;section+tax_point;0.75;2.4.7;Låst dörr, med kod;;;138;§2.4.7;Låst dörr, med kod;;st/år;;YES;Word-raden finns i Taxepunkter men variant eller enhet skiljer.
WTX-2-4-8-5A04F7EA-01;MAPPED;section+tax_point;0.75;2.4.8;Kärl 140 l matavfall;;kärl;140;§2.4.8;Kärl 140 l matavfall;;st/period;;YES;Word-raden finns i Taxepunkter men variant eller enhet skiljer.
WTX-2-4-8-FDB20231-01;MAPPED;section+tax_point;0.75;2.4.8;Kärl 190 l restavfall;;kärl;141;§2.4.8;Kärl 190 l restavfall;;st/period;;YES;Word-raden finns i Taxepunkter men variant eller enhet skiljer.
WTX-2-4-8-68320C3D-01;MAPPED;section+tax_point;0.75;2.4.8;Kärl 370 l restavfall;;kärl;142;§2.4.8;Kärl 370 l restavfall;;st/period;;YES;Word-raden finns i Taxepunkter men variant eller enhet skiljer.
WTX-2-4-8-84E77559-01;MAPPED;section+tax_point;0.75;2.4.8;Kärl 660 l restavfall;;kärl;143;§2.4.8;Kärl 660 l restavfall;;st/period;;YES;Word-raden finns i Taxepunkter men variant eller enhet skiljer.
WTX-2-4-8-DFCC4F8B-01;MISSING;no Taxepunkter row;0.0;2.4.8;Bottentömmande behållare;;;;;;;;;YES;Word-raden saknar motsvarande rad i Taxepunkter.
WTX-2-4-9-0E177E9C-01;MAPPED;section+tax_point;0.75;2.4.9;Sidlastande fordon;;;146;§2.4.9;Sidlastande fordon;;st/tillfälle;;YES;Word-raden finns i Taxepunkter men variant eller enhet skiljer.
WTX-2-4-9-75C122DA-01;MAPPED;section+tax_point;0.75;2.4.9;Bottentömmande fordon;;;147;§2.4.9;Bottentömmande fordon;;st/tillfälle;;YES;Word-raden finns i Taxepunkter men variant eller enhet skiljer.
WTX-2-4-9-C63CCE75-01;MAPPED;section+tax_point;0.75;2.4.9;Tömningsavgift per behållare;;;148;§2.4.9;Tömningsavgift per behållare;;st/tillfälle;;YES;Word-raden finns i Taxepunkter men variant eller enhet skiljer.
WTX-2-4-10-73F6F336-01;MAPPED;section+tax_point;0.75;2.4.10;Betalsäck;;;150;§2.4.10;Betalsäck;;st/säck;BETALSÄCK;YES;Word-raden finns i Taxepunkter men variant eller enhet skiljer.
WTX-2-4-10-58F70F4D-01;MAPPED;section+tax_point;0.75;2.4.10;Akutsäck;;;151;§2.4.10;Akutsäck;;st/säck;AKUTSÄCK;YES;Word-raden finns i Taxepunkter men variant eller enhet skiljer.
WTX-2-4-11-E2BEF277-01;MAPPED;section+tax_point;0.75;2.4.11;Matavfallspåsar 9 L;;;153;§2.4.11;Matavfallspåsar 9 L;;bunt;;YES;Word-raden finns i Taxepunkter men variant eller enhet skiljer.
WTX-2-4-11-3738275A-01;MAPPED;section+tax_point;0.75;2.4.11;Matavfallspåsar 22 L;;;154;§2.4.11;Matavfallspåsar 22 L;;bunt;;YES;Word-raden finns i Taxepunkter men variant eller enhet skiljer.
WTX-2-4-11-C25C860D-01;MAPPED;section+tax_point;0.75;2.4.11;Gravitationslås till kärl;;kärl;155;§2.4.11;Gravitationslås till kärl;;st;;YES;Word-raden finns i Taxepunkter men variant eller enhet skiljer.
WTX-2-4-11-B3C061B1-01;MAPPED;section+tax_point;0.75;2.4.11;Extra nyckel till gravitationslås;;;156;§2.4.11;Extra nyckel till gravitationslås;;st;;YES;Word-raden finns i Taxepunkter men variant eller enhet skiljer.
WTX-2-5-1-E71D5E74-01;MAPPED;section+tax_point;0.75;2.5.1;Kommunalt avfall;;;159;§2.5.1;Kommunalt avfall;;st/tillfälle;;YES;Word-raden finns i Taxepunkter men variant eller enhet skiljer.
WTX-2-5-1-4D6E9911-01;MAPPED;section+tax_point;0.75;2.5.1;Farligt avfall (ej uppmärkt);;;160;§2.5.1;Farligt avfall (ej uppmärkt);;st/tillfälle;;YES;Word-raden finns i Taxepunkter men variant eller enhet skiljer.
WTX-2-5-1-91EFCB49-01;REVIEW;multiple section+tax_point rows;0.6;2.5.1;Farligt avfall (uppmärkt);;;161;§2.5.1;Farligt avfall (uppmärkt);;st/tillfälle;;YES;2 Excel-rader delar paragraf och taxepunkt. Kräver granskning men är inte automatiskt fel.
WTX-2-5-1-0CDDF608-01;MISSING;no Taxepunkter row;0.0;2.5.1;Avisering av ankomst;;;;;;;;;YES;Word-raden saknar motsvarande rad i Taxepunkter.
WTX-3-1-72F9E607-01;MISSING;no Taxepunkter row;0.0;3.1;Upp till 3 m3;;m³;;;;;;;YES;Word-raden saknar motsvarande rad i Taxepunkter.
WTX-3-1-FB70AF63-01;MISSING;no Taxepunkter row;0.0;3.1;Mellan 3 m3 och 6 m3;;m³;;;;;;;YES;Word-raden saknar motsvarande rad i Taxepunkter.
WTX-3-1-8DD57ED4-01;MISSING;no Taxepunkter row;0.0;3.1;Mellan 6 m3 och 9 m3;;m³;;;;;;;YES;Word-raden saknar motsvarande rad i Taxepunkter.
WTX-3-1-AAD165CE-01;MISSING;no Taxepunkter row;0.0;3.1;Tillägg per m3 över 9 m3;;m³;;;;;;;YES;Word-raden saknar motsvarande rad i Taxepunkter.
WTX-3-1-EFFAFFA4-01;MISSING;no Taxepunkter row;0.0;3.1;Bad-, disk- och tvättbrunn upp till 3 m3;;m³;;;;;;;YES;Word-raden saknar motsvarande rad i Taxepunkter.
WTX-3-1-C9D7506A-01;MISSING;no Taxepunkter row;0.0;3.1;Tillägg per m3 över 3 m3;;m³;;;;;;;YES;Word-raden saknar motsvarande rad i Taxepunkter.
WTX-3-2-F099489B-01;MISSING;no Taxepunkter row;0.0;3.2;Dragning av extra slang vid 5-25 m;;;;;;;;;YES;Word-raden saknar motsvarande rad i Taxepunkter.
WTX-3-2-F3107856-01;MISSING;no Taxepunkter row;0.0;3.2;Dragning av extra slang vid 25-35 m;;;;;;;;;YES;Word-raden saknar motsvarande rad i Taxepunkter.
WTX-3-2-7E47ABD8-01;MISSING;no Taxepunkter row;0.0;3.2;Dragning av extra slang vid 36-45 m;;;;;;;;;YES;Word-raden saknar motsvarande rad i Taxepunkter.
WTX-3-2-55C38365-01;MISSING;no Taxepunkter row;0.0;3.2;Dragning av extra slang vid 46-55 m;;;;;;;;;YES;Word-raden saknar motsvarande rad i Taxepunkter.
WTX-3-2-1215CBE1-01;MISSING;no Taxepunkter row;0.0;3.2;Hantering av brunnslock som väger 15-25 kg;;kilogram;;;;;;;YES;Word-raden saknar motsvarande rad i Taxepunkter.
WTX-3-2-6490412D-01;MISSING;no Taxepunkter row;0.0;3.2;Krav på information om tömningstid;;;;;;;;;YES;Word-raden saknar motsvarande rad i Taxepunkter.
WTX-3-2-3EAF59A4-01;MISSING;no Taxepunkter row;0.0;3.2;Krav på närvaro vid specificerad tömningstid;;;;;;;;;YES;Word-raden saknar motsvarande rad i Taxepunkter.
WTX-3-2-B8BD1D23-01;MISSING;no Taxepunkter row;0.0;3.2;Hantering av kod för kodlås vid slamtömning;;;;;;;;;YES;Word-raden saknar motsvarande rad i Taxepunkter.
WTX-3-2-B53CBF03-01;MISSING;no Taxepunkter row;0.0;3.2;Hetvattentvätt med spolbil, timersättning;;;;;;;;;YES;Word-raden saknar motsvarande rad i Taxepunkter.
WTX-3-2-1EC98959-01;MISSING;no Taxepunkter row;0.0;3.2;Tömning av extra tank/brunn i samband med ordinarie/budad tömning upp till 5 m3;;m³;;;;;;;YES;Word-raden saknar motsvarande rad i Taxepunkter.
WTX-3-3-7F8CE3DC-01;MISSING;no Taxepunkter row;0.0;3.3;Budning inom ordinarie tömningsperiod (1 maj- 31 oktober);;;;;;;;;YES;Word-raden saknar motsvarande rad i Taxepunkter.
WTX-3-3-80AB16B6-01;MISSING;no Taxepunkter row;0.0;3.3;Budning utanför ordinarie tömningsperiod (1 nov – 30 april);;;;;;;;;YES;Word-raden saknar motsvarande rad i Taxepunkter.
WTX-3-3-0F23C44B-01;MISSING;no Taxepunkter row;0.0;3.3;Tömning av toalettvagnar eller liknande /styck;;styck;;;;;;;YES;Word-raden saknar motsvarande rad i Taxepunkter.
WTX-3-4-F211DAA1-01;MISSING;no Taxepunkter row;0.0;3.4;Latrinbehållare 37 liter inkl. mottagning och behandling;;liter;;;;;;;YES;Word-raden saknar motsvarande rad i Taxepunkter.
WTX-4-1-8833528C-01;MISSING;no Taxepunkter row;0.0;4.1;Filtermassor upp till 500 kg;;kilogram;;;;;;;YES;Word-raden saknar motsvarande rad i Taxepunkter.
WTX-4-1-3D107D66-01;MISSING;no Taxepunkter row;0.0;4.1;Filtermassor 500-1000 kg;;kilogram;;;;;;;YES;Word-raden saknar motsvarande rad i Taxepunkter.
WTX-4-2-F6FF402E-01;MISSING;no Taxepunkter row;0.0;4.2;Krav på information om hämtningstid;;;;;;;;;YES;Word-raden saknar motsvarande rad i Taxepunkter.
WTX-4-2-E5A9A60B-01;MISSING;no Taxepunkter row;0.0;4.2;Krav på närvaro vid specificerad hämtningstid;;;;;;;;;YES;Word-raden saknar motsvarande rad i Taxepunkter.
WTX-4-2-97B4249F-01;MISSING;no Taxepunkter row;0.0;4.2;Hantering av kod för kodlås;;;;;;;;;YES;Word-raden saknar motsvarande rad i Taxepunkter.
WTX-5-1-E02DEE1F-01;MISSING;no Taxepunkter row;0.0;5.1;Upp till 3 m3;;m³;;;;;;;YES;Word-raden saknar motsvarande rad i Taxepunkter.
WTX-5-1-A1B04D60-01;MISSING;no Taxepunkter row;0.0;5.1;Mellan 3 m3 och 6 m3;;m³;;;;;;;YES;Word-raden saknar motsvarande rad i Taxepunkter.
WTX-5-1-83D937C5-01;MISSING;no Taxepunkter row;0.0;5.1;Över 6 m3;;m³;;;;;;;YES;Word-raden saknar motsvarande rad i Taxepunkter.
WTX-5-2-3BE6DFF8-01;MISSING;no Taxepunkter row;0.0;5.2;Dragning av extra slang vid 5-25 m;;;;;;;;;YES;Word-raden saknar motsvarande rad i Taxepunkter.
WTX-5-2-BF8EF745-01;MISSING;no Taxepunkter row;0.0;5.2;Dragning av extra slang vid 25-35 m;;;;;;;;;YES;Word-raden saknar motsvarande rad i Taxepunkter.
WTX-5-2-35039B5D-01;MISSING;no Taxepunkter row;0.0;5.2;Dragning av extra slang vid 36-45 m;;;;;;;;;YES;Word-raden saknar motsvarande rad i Taxepunkter.
WTX-5-2-D16F054D-01;MISSING;no Taxepunkter row;0.0;5.2;Dragning av extra slang vid 46-55 m;;;;;;;;;YES;Word-raden saknar motsvarande rad i Taxepunkter.
