Paragraf;Taxapunkt;Variant;Enhet;Section group;Kategori;Avfallstyp;Enhetstyp;Behållarvolym liter;Faktorhint;Confidence;Keywords;Notes
2.2.4;Kärl 660 l (restavfall);;kärl;2.2;Hushåll;Restavfall;Behållarvolym;660;VOLYM/BEHÅLLARE;1.00;660, kärl, restavfall;
2.2.4;Kärl 140 l (matavfall);;kärl;2.2;Hushåll;Matavfall;Behållarvolym;140;VOLYM/BEHÅLLARE;1.00;140, kärl, matavfall;
2.2.4;Kärl 190 l (förpackningar);;kärl;2.2;Hushåll;Förpackningar;Behållarvolym;190;VOLYM/BEHÅLLARE;1.00;190, förpackningar, kärl;
2.2.4;Kärl 370 l (förpackningar);;kärl;2.2;Hushåll;Förpackningar;Behållarvolym;370;VOLYM/BEHÅLLARE;1.00;370, förpackningar, kärl;
2.2.4;Kärl 660 l (förpackningar);;kärl;2.2;Hushåll;Förpackningar;Behållarvolym;660;VOLYM/BEHÅLLARE;1.00;660, förpackningar, kärl;
2.2.4;Kärl 190 l (tidningar och returpapper);;kärl;2.2;Hushåll;;Behållarvolym;190;VOLYM/BEHÅLLARE;0.75;190, kärl, returpapper, tidningar;Avfallstyp kunde inte härledas.
2.2.4;Kärl 370 l (tidningar och returpapper);;kärl;2.2;Hushåll;;Behållarvolym;370;VOLYM/BEHÅLLARE;0.75;370, kärl, returpapper, tidningar;Avfallstyp kunde inte härledas.
2.2.4;(mat-/restavfall, förpackningar);;;2.2;Hushåll;Restavfall;;;;0.75;förpackningar, mat-, restavfall;Faktor kunde inte härledas från enhet/text.
2.2.5;Kärl 240 l (mat-/restavfall);;kärl;2.2;Hushåll;Restavfall;Behållarvolym;240;VOLYM/BEHÅLLARE;1.00;240, kärl, mat-, restavfall;
2.2.5;Kärl 370 l (restavfall);;kärl;2.2;Hushåll;Restavfall;Behållarvolym;370;VOLYM/BEHÅLLARE;1.00;370, kärl, restavfall;
2.2.5;Kärl 660 l (restavfall);;kärl;2.2;Hushåll;Restavfall;Behållarvolym;660;VOLYM/BEHÅLLARE;1.00;660, kärl, restavfall;
2.2.5;Kärl 140 l (matavfall);;kärl;2.2;Hushåll;Matavfall;Behållarvolym;140;VOLYM/BEHÅLLARE;1.00;140, kärl, matavfall;
2.2.5;Bottentömmande behållare (mat-/restavfall);;;2.2;Hushåll;Restavfall;;;;0.75;behållare, bottentömmande, mat-, restavfall;Faktor kunde inte härledas från enhet/text.
2.2.5;Lastväxlarflak (restavfall);;;2.2;Hushåll;Restavfall;;;;0.75;lastväxlarflak, restavfall;Faktor kunde inte härledas från enhet/text.
2.2.6;Kärl 240 l (mat-/restavfall);;kärl;2.2;Hushåll;Restavfall;Behållarvolym;240;VOLYM/BEHÅLLARE;1.00;240, kärl, mat-, restavfall;
2.2.6;Kärl 370 l (restavfall);;kärl;2.2;Hushåll;Restavfall;Behållarvolym;370;VOLYM/BEHÅLLARE;1.00;370, kärl, restavfall;
2.2.6;Kärl 660 l (restavfall);;kärl;2.2;Hushåll;Restavfall;Behållarvolym;660;VOLYM/BEHÅLLARE;1.00;660, kärl, restavfall;
2.2.6;Kärl 140 l (matavfall);;kärl;2.2;Hushåll;Matavfall;Behållarvolym;140;VOLYM/BEHÅLLARE;1.00;140, kärl, matavfall;
2.2.6;Bottentömmande behållare (mat-/restavfall);;;2.2;Hushåll;Restavfall;;;;0.75;behållare, bottentömmande, mat-, restavfall;Faktor kunde inte härledas från enhet/text.
2.2.6;Lastväxlarflak (restavfall);;;2.2;Hushåll;Restavfall;;;;0.75;lastväxlarflak, restavfall;Faktor kunde inte härledas från enhet/text.
2.2.7;Kärl 140 l (kontors-/returpapper);;kärl;2.2;Hushåll;;Behållarvolym;140;VOLYM/BEHÅLLARE;0.75;140, kontors-, kärl, returpapper;Avfallstyp kunde inte härledas.
2.2.7;Egen överlämning av förbrukat kontors-/returpapper enligt anvisning;;;2.2;Hushåll;;;;;0.50;anvisning, egen, enligt, förbrukat, kontors-, returpapper, överlämning;Faktor kunde inte härledas från enhet/text. | Avfallstyp kunde inte härledas.
2.2.7;Egen överlämning av förbrukat matfett enligt anvisning;;;2.2;Hushåll;;;;;0.50;anvisning, egen, enligt, förbrukat, matfett, överlämning;Faktor kunde inte härledas från enhet/text. | Avfallstyp kunde inte härledas.
2.3;Viktavgift matavfall;;;2.3;Hushåll;Matavfall;;;;0.75;matavfall, viktavgift;Faktor kunde inte härledas från enhet/text.
2.3;Viktavgift restavfall;;;2.3;Hushåll;Restavfall;;;;0.75;restavfall, viktavgift;Faktor kunde inte härledas från enhet/text.
2.3;Lyftavgift kärl;;kärl;2.3;Hushåll;;;;;0.50;kärl, lyftavgift;Faktor kunde inte härledas från enhet/text. | Avfallstyp kunde inte härledas.
2.4.1;Fakturavgift;;;2.4;Hushåll;;;;;0.50;fakturavgift;Faktor kunde inte härledas från enhet/text. | Avfallstyp kunde inte härledas.
2.4.2;Delat kärl 240 l matavfall 40 kg;;kilogram;2.4;Hushåll;Matavfall;Vikt;240;VIKG;1.00;240, delat, kilogram, kärl, matavfall;
2.4.2;Delat kärl 240 l restavfall 40 kg;;kilogram;2.4;Hushåll;Restavfall;Vikt;240;VIKG;1.00;240, delat, kilogram, kärl, restavfall;
2.4.2;Extra kärl 140 l matavfall 60 kg;;kilogram;2.4;Hushåll;Matavfall;Vikt;140;VIKG;1.00;140, extra, kilogram, kärl, matavfall;
2.4.2;Extra kärl 140-190 l restavfall 60 kg;;kilogram;2.4;Hushåll;Restavfall;Vikt;190;VIKG;1.00;140-190, extra, kilogram, kärl, restavfall;
2.4.2;Kärl 370 l restavfall 60 kg;;kilogram;2.4;Hushåll;Restavfall;Vikt;370;VIKG;1.00;370, kilogram, kärl, restavfall;
2.4.2;Kärl 660 l restavfall 100 kg;;kilogram;2.4;Hushåll;Restavfall;Vikt;660;VIKG;1.00;100, 660, kilogram, kärl, restavfall;
2.4.3;Överfullt kärl;;kärl;2.4;Hushåll;;;;;0.50;kärl, överfullt;Faktor kunde inte härledas från enhet/text. | Avfallstyp kunde inte härledas.
2.4.3;Överfull bottentömmande behållare;;;2.4;Hushåll;;;;;0.50;behållare, bottentömmande, överfull;Faktor kunde inte härledas från enhet/text. | Avfallstyp kunde inte härledas.
2.4.4;Byte av trasigt kärl vid oaktsamhet;;kärl;2.4;Hushåll;;;;;0.50;byte, kärl, oaktsamhet, trasigt, vid;Faktor kunde inte härledas från enhet/text. | Avfallstyp kunde inte härledas.
2.4.5;Byte/återtag av kärl en (1) ggr/år 140–240 liter;;liter;2.4;Hushåll;;Behållarvolym;240;VOLYM/BEHÅLLARE;0.75;140-240, byte, ggr, kärl, liter, återtag;Avfallstyp kunde inte härledas.
2.4.5;Byte/återtag av kärl en (1) ggr/år 370–660 liter;;liter;2.4;Hushåll;;Behållarvolym;660;VOLYM/BEHÅLLARE;0.75;370-660, byte, ggr, kärl, liter, återtag;Avfallstyp kunde inte härledas.
2.4.5;Ytterligare byte av kärl under kalenderåret;;kärl;2.4;Hushåll;;;;;0.50;byte, kalenderåret, kärl, under, ytterligare;Faktor kunde inte härledas från enhet/text. | Avfallstyp kunde inte härledas.
2.4.6;Kärl;;kärl;2.4;Hushåll;;;;;0.50;kärl;Faktor kunde inte härledas från enhet/text. | Avfallstyp kunde inte härledas.
2.4.6;Bottentömmande behållare;;;2.4;Hushåll;;;;;0.50;behållare, bottentömmande;Faktor kunde inte härledas från enhet/text. | Avfallstyp kunde inte härledas.
2.4.7;Kärl 140-660 L 1,5-10;;kärl;2.4;Hushåll;;Behållarvolym;660;VOLYM/BEHÅLLARE;0.75;140-660, 5-10, kärl;Avfallstyp kunde inte härledas.
2.4.7;Kärl 140-660 L 10-20;;kärl;2.4;Hushåll;;Behållarvolym;660;VOLYM/BEHÅLLARE;0.75;10-20, 140-660, kärl;Avfallstyp kunde inte härledas.
2.4.7;Kärl 140-660 L 20-30;;kärl;2.4;Hushåll;;Behållarvolym;660;VOLYM/BEHÅLLARE;0.75;140-660, 20-30, kärl;Avfallstyp kunde inte härledas.
2.4.7;Avfallsport/dörr;;;2.4;Hushåll;;;;;0.50;avfallsport, dörr;Faktor kunde inte härledas från enhet/text. | Avfallstyp kunde inte härledas.
2.4.7;Låst dörr, med kod;;;2.4;Hushåll;;;;;0.50;dörr, kod, låst;Faktor kunde inte härledas från enhet/text. | Avfallstyp kunde inte härledas.
2.4.8;Kärl 140 l matavfall;;kärl;2.4;Hushåll;Matavfall;Behållarvolym;140;VOLYM/BEHÅLLARE;1.00;140, kärl, matavfall;
2.4.8;Kärl 190 l restavfall;;kärl;2.4;Hushåll;Restavfall;Behållarvolym;190;VOLYM/BEHÅLLARE;1.00;190, kärl, restavfall;
2.4.8;Kärl 370 l restavfall;;kärl;2.4;Hushåll;Restavfall;Behållarvolym;370;VOLYM/BEHÅLLARE;1.00;370, kärl, restavfall;
2.4.8;Kärl 660 l restavfall;;kärl;2.4;Hushåll;Restavfall;Behållarvolym;660;VOLYM/BEHÅLLARE;1.00;660, kärl, restavfall;
2.4.8;Bottentömmande behållare;;;2.4;Hushåll;;;;;0.50;behållare, bottentömmande;Faktor kunde inte härledas från enhet/text. | Avfallstyp kunde inte härledas.
2.4.9;Sidlastande fordon;;;2.4;Hushåll;;;;;0.50;fordon, sidlastande;Faktor kunde inte härledas från enhet/text. | Avfallstyp kunde inte härledas.
2.4.9;Bottentömmande fordon;;;2.4;Hushåll;;;;;0.50;bottentömmande, fordon;Faktor kunde inte härledas från enhet/text. | Avfallstyp kunde inte härledas.
2.4.9;Tömningsavgift per behållare;;;2.4;Hushåll;;;;;0.50;behållare, tömningsavgift;Faktor kunde inte härledas från enhet/text. | Avfallstyp kunde inte härledas.
2.4.10;Betalsäck;;;2.4;Hushåll;;;;;0.50;betalsäck;Faktor kunde inte härledas från enhet/text. | Avfallstyp kunde inte härledas.
2.4.10;Akutsäck;;;2.4;Hushåll;;;;;0.50;akutsäck;Faktor kunde inte härledas från enhet/text. | Avfallstyp kunde inte härledas.
2.4.11;Matavfallspåsar 9 L;;;2.4;Hushåll;;Behållarvolym;;VOLYM/BEHÅLLARE;0.75;matavfallspåsar;Avfallstyp kunde inte härledas.
2.4.11;Matavfallspåsar 22 L;;;2.4;Hushåll;;Behållarvolym;22;VOLYM/BEHÅLLARE;0.75;matavfallspåsar;Avfallstyp kunde inte härledas.
2.4.11;Gravitationslås till kärl;;kärl;2.4;Hushåll;;;;;0.50;gravitationslås, kärl;Faktor kunde inte härledas från enhet/text. | Avfallstyp kunde inte härledas.
2.4.11;Extra nyckel till gravitationslås;;;2.4;Hushåll;;;;;0.50;extra, gravitationslås, nyckel;Faktor kunde inte härledas från enhet/text. | Avfallstyp kunde inte härledas.
2.5.1;Kommunalt avfall;;;2.5;Hushåll;;;;;0.50;avfall, kommunalt;Faktor kunde inte härledas från enhet/text. | Avfallstyp kunde inte härledas.
2.5.1;Farligt avfall (ej uppmärkt);;;2.5;Hushåll;Farligt avfall;;;;0.75;avfall, farligt, uppmärkt;Faktor kunde inte härledas från enhet/text.
2.5.1;Farligt avfall (uppmärkt);;;2.5;Hushåll;Farligt avfall;;;;0.75;avfall, farligt, uppmärkt;Faktor kunde inte härledas från enhet/text.
2.5.1;Avisering av ankomst;;;2.5;Hushåll;;;;;0.50;ankomst, avisering;Faktor kunde inte härledas från enhet/text. | Avfallstyp kunde inte härledas.
3.1;Upp till 3 m3;;m³;3.1;Flerbostad/verksamhet;;Volym;;VOLM;0.75;upp;Avfallstyp kunde inte härledas.
3.1;Mellan 3 m3 och 6 m3;;m³;3.1;Flerbostad/verksamhet;;Volym;;VOLM;0.75;mellan;Avfallstyp kunde inte härledas.
3.1;Mellan 6 m3 och 9 m3;;m³;3.1;Flerbostad/verksamhet;;Volym;;VOLM;0.75;mellan;Avfallstyp kunde inte härledas.
3.1;Tillägg per m3 över 9 m3;;m³;3.1;Flerbostad/verksamhet;;Volym;;VOLM;0.75;tillägg, över;Avfallstyp kunde inte härledas.
3.1;Bad-, disk- och tvättbrunn upp till 3 m3;;m³;3.1;Flerbostad/verksamhet;;Volym;;VOLM;0.75;bad-, disk-och, tvättbrunn, upp;Avfallstyp kunde inte härledas.
3.1;Tillägg per m3 över 3 m3;;m³;3.1;Flerbostad/verksamhet;;Volym;;VOLM;0.75;tillägg, över;Avfallstyp kunde inte härledas.
3.2;Dragning av extra slang vid 5-25 m;;;3.2;Flerbostad/verksamhet;;;;;0.50;5-25, dragning, extra, slang, vid;Faktor kunde inte härledas från enhet/text. | Avfallstyp kunde inte härledas.
3.2;Dragning av extra slang vid 25-35 m;;;3.2;Flerbostad/verksamhet;;;;;0.50;25-35, dragning, extra, slang, vid;Faktor kunde inte härledas från enhet/text. | Avfallstyp kunde inte härledas.
3.2;Dragning av extra slang vid 36-45 m;;;3.2;Flerbostad/verksamhet;;;;;0.50;36-45, dragning, extra, slang, vid;Faktor kunde inte härledas från enhet/text. | Avfallstyp kunde inte härledas.
3.2;Dragning av extra slang vid 46-55 m;;;3.2;Flerbostad/verksamhet;;;;;0.50;46-55, dragning, extra, slang, vid;Faktor kunde inte härledas från enhet/text. | Avfallstyp kunde inte härledas.
3.2;Hantering av brunnslock som väger 15-25 kg;;kilogram;3.2;Flerbostad/verksamhet;;Vikt;;VIKG;0.75;15-25, brunnslock, hantering, kilogram, som, väger;Avfallstyp kunde inte härledas.
3.2;Krav på information om tömningstid;;;3.2;Flerbostad/verksamhet;;;;;0.50;information, krav, tömningstid;Faktor kunde inte härledas från enhet/text. | Avfallstyp kunde inte härledas.
3.2;Krav på närvaro vid specificerad tömningstid;;;3.2;Flerbostad/verksamhet;;;;;0.50;krav, närvaro, specificerad, tömningstid, vid;Faktor kunde inte härledas från enhet/text. | Avfallstyp kunde inte härledas.
3.2;Hantering av kod för kodlås vid slamtömning;;;3.2;Flerbostad/verksamhet;Slam;;;;0.75;hantering, kod, kodlås, slamtömning, vid;Faktor kunde inte härledas från enhet/text.
3.2;Hetvattentvätt med spolbil, timersättning;;;3.2;Flerbostad/verksamhet;;;;;0.50;hetvattentvätt, spolbil, timersättning;Faktor kunde inte härledas från enhet/text. | Avfallstyp kunde inte härledas.
3.2;Tömning av extra tank/brunn i samband med ordinarie/budad tömning upp till 5 m3;;m³;3.2;Flerbostad/verksamhet;;Volym;;VOLM;0.75;brunn, budad, extra, ordinarie, samband, tank, tömning, upp;Avfallstyp kunde inte härledas.
3.3;Budning inom ordinarie tömningsperiod (1 maj- 31 oktober);;;3.3;Flerbostad/verksamhet;;;;;0.50;budning, inom, maj-31, oktober, ordinarie, tömningsperiod;Faktor kunde inte härledas från enhet/text. | Avfallstyp kunde inte härledas.
3.3;Budning utanför ordinarie tömningsperiod (1 nov – 30 april);;;3.3;Flerbostad/verksamhet;;;;;0.50;april, budning, nov-30, ordinarie, tömningsperiod, utanför;Faktor kunde inte härledas från enhet/text. | Avfallstyp kunde inte härledas.
3.3;Tömning av toalettvagnar eller liknande /styck;;styck;3.3;Flerbostad/verksamhet;;Styck;;ST;0.75;eller, liknande, styck, toalettvagnar, tömning;Avfallstyp kunde inte härledas.
3.4;Latrinbehållare 37 liter inkl. mottagning och behandling;;liter;3.4;Flerbostad/verksamhet;;Behållarvolym;37;VOLYM/BEHÅLLARE;0.75;behandling, inkl, latrinbehållare, liter, mottagning;Avfallstyp kunde inte härledas.
4.1;Filtermassor upp till 500 kg;;kilogram;4.1;Tilläggstjänst;;Vikt;;VIKG;0.75;500, filtermassor, kilogram, upp;Avfallstyp kunde inte härledas.
4.1;Filtermassor 500-1000 kg;;kilogram;4.1;Tilläggstjänst;;Vikt;;VIKG;0.75;500-1000, filtermassor, kilogram;Avfallstyp kunde inte härledas.
4.2;Krav på information om hämtningstid;;;4.2;Tilläggstjänst;;;;;0.50;hämtningstid, information, krav;Faktor kunde inte härledas från enhet/text. | Avfallstyp kunde inte härledas.
4.2;Krav på närvaro vid specificerad hämtningstid;;;4.2;Tilläggstjänst;;;;;0.50;hämtningstid, krav, närvaro, specificerad, vid;Faktor kunde inte härledas från enhet/text. | Avfallstyp kunde inte härledas.
4.2;Hantering av kod för kodlås;;;4.2;Tilläggstjänst;;;;;0.50;hantering, kod, kodlås;Faktor kunde inte härledas från enhet/text. | Avfallstyp kunde inte härledas.
5.1;Upp till 3 m3;;m³;5.1;Slam;;Volym;;VOLM;0.75;upp;Avfallstyp kunde inte härledas.
5.1;Mellan 3 m3 och 6 m3;;m³;5.1;Slam;;Volym;;VOLM;0.75;mellan;Avfallstyp kunde inte härledas.
5.1;Över 6 m3;;m³;5.1;Slam;;Volym;;VOLM;0.75;över;Avfallstyp kunde inte härledas.
5.2;Dragning av extra slang vid 5-25 m;;;5.2;Slam;;;;;0.50;5-25, dragning, extra, slang, vid;Faktor kunde inte härledas från enhet/text. | Avfallstyp kunde inte härledas.
5.2;Dragning av extra slang vid 25-35 m;;;5.2;Slam;;;;;0.50;25-35, dragning, extra, slang, vid;Faktor kunde inte härledas från enhet/text. | Avfallstyp kunde inte härledas.
5.2;Dragning av extra slang vid 36-45 m;;;5.2;Slam;;;;;0.50;36-45, dragning, extra, slang, vid;Faktor kunde inte härledas från enhet/text. | Avfallstyp kunde inte härledas.
5.2;Dragning av extra slang vid 46-55 m;;;5.2;Slam;;;;;0.50;46-55, dragning, extra, slang, vid;Faktor kunde inte härledas från enhet/text. | Avfallstyp kunde inte härledas.
5.2;Hantering av brunnslock som väger 15-25 kg;;kilogram;5.2;Slam;;Vikt;;VIKG;0.75;15-25, brunnslock, hantering, kilogram, som, väger;Avfallstyp kunde inte härledas.
5.2;Krav på information om tömningstid;;;5.2;Slam;;;;;0.50;information, krav, tömningstid;Faktor kunde inte härledas från enhet/text. | Avfallstyp kunde inte härledas.
5.2;Krav på närvaro vid specificerad tömningstid;;;5.2;Slam;;;;;0.50;krav, närvaro, specificerad, tömningstid, vid;Faktor kunde inte härledas från enhet/text. | Avfallstyp kunde inte härledas.
5.2;Hantering av kod för kodlås vid tömning;;tömning;5.2;Slam;;;;;0.50;hantering, kod, kodlås, tömning, vid;Faktor kunde inte härledas från enhet/text. | Avfallstyp kunde inte härledas.
5.2;Hetvattentvätt med spolbil, timersättning;;;5.2;Slam;;;;;0.50;hetvattentvätt, spolbil, timersättning;Faktor kunde inte härledas från enhet/text. | Avfallstyp kunde inte härledas.
5.2;Silikontätning per lock;;;5.2;Slam;;;;;0.50;lock, silikontätning;Faktor kunde inte härledas från enhet/text. | Avfallstyp kunde inte härledas.
5.2;Tömning av extra tank i samband med ordinarie/budad tömning upp till 5 m3;;m³;5.2;Slam;;Volym;;VOLM;0.75;budad, extra, ordinarie, samband, tank, tömning, upp;Avfallstyp kunde inte härledas.
5.3;Budning inom ordinarie tömningsperiod (1 maj- 31 oktober);;;5.3;Slam;;;;;0.50;budning, inom, maj-31, oktober, ordinarie, tömningsperiod;Faktor kunde inte härledas från enhet/text. | Avfallstyp kunde inte härledas.
5.3;Budning utanför ordinarie tömningsperiod;;;5.3;Slam;;;;;0.50;budning, ordinarie, tömningsperiod, utanför;Faktor kunde inte härledas från enhet/text. | Avfallstyp kunde inte härledas.
6.1.1;Verksamheter;;;6.1;Verksamhetsavfall;;;;;0.50;verksamheter;Faktor kunde inte härledas från enhet/text. | Avfallstyp kunde inte härledas.
6.1.1;Övriga abonnemangstyper;;;6.1;Verksamhetsavfall;;;;;0.50;abonnemangstyper, övriga;Faktor kunde inte härledas från enhet/text. | Avfallstyp kunde inte härledas.
6.1.1;Vågkort;;;6.1;Verksamhetsavfall;;;;;0.50;vågkort;Faktor kunde inte härledas från enhet/text. | Avfallstyp kunde inte härledas.
6.1.1;Borttappat vågkort;;;6.1;Verksamhetsavfall;;;;;0.50;borttappat, vågkort;Faktor kunde inte härledas från enhet/text. | Avfallstyp kunde inte härledas.
6.1.1;Ej redovisad ankomst till ÅVC (för företagare och privatpersoner som lämnar verksamhetsavfall utan att anmäla sin ankomst);;besök;6.1;Verksamhetsavfall;;;;;0.50;ankomst, anmäla, att, besök, företagare, lämnar, privatpersoner, redovisad, sin, som, verksamhetsavfall, åvc;Faktor kunde inte härledas från enhet/text. | Avfallstyp kunde inte härledas.
6.1.1;Ej redovisad eller fel redovisad fraktion av avfall;;fraktion;6.1;Verksamhetsavfall;;;;;0.50;avfall, eller, fel, fraktion, redovisad;Faktor kunde inte härledas från enhet/text. | Avfallstyp kunde inte härledas.
6.1.2;Avfall till energiåtervinning (240 L sopsäck);;styck;6.1;ÅVC/verksamhetsavfall;;Styck;240;ST;0.75;240, avfall, energiåtervinning, sopsäck, styck;Avfallstyp kunde inte härledas.
6.1.2;Avfall till energiåtervinning;;kilogram;6.1;ÅVC/verksamhetsavfall;;Vikt;;VIKG;0.75;avfall, energiåtervinning, kilogram;Avfallstyp kunde inte härledas.
6.1.2;Skrymmande avfall till energiåtervinning större än 20×20×80;;kilogram;6.1;ÅVC/verksamhetsavfall;;Vikt;;VIKG;0.75;20x20x80, avfall, energiåtervinning, kilogram, skrymmande, större;Avfallstyp kunde inte härledas.
6.1.2;Träavfall – obehandlat, utan tapet, plastmatta, tjärpapp;;kilogram;6.1;ÅVC/verksamhetsavfall;;Vikt;;VIKG;0.75;kilogram, plastmatta, tapet, tjärpapp, träavfall-obehandlat;Avfallstyp kunde inte härledas.
6.1.2;Träavfall – behandlat, utan tapet, plastmatta, tjärpapp;;kilogram;6.1;ÅVC/verksamhetsavfall;;Vikt;;VIKG;0.75;kilogram, plastmatta, tapet, tjärpapp, träavfall-behandlat;Avfallstyp kunde inte härledas.
6.1.2;Tryckimpregnerat virke, pall;;kilogram;6.1;ÅVC/verksamhetsavfall;Tryckimpregnerat trä;Vikt;;VIKG;1.00;kilogram, pall, tryckimpregnerat, virke;
6.1.2;Betong, lättbetong;;kilogram;6.1;ÅVC/verksamhetsavfall;Betong;Vikt;;VIKG;1.00;betong, kilogram, lättbetong;
6.1.2;Gips, gipsskivor;;kilogram;6.1;ÅVC/verksamhetsavfall;Gips;Vikt;;VIKG;1.00;gips, gipsskivor, kilogram;
6.1.2;Tegel;;kilogram;6.1;ÅVC/verksamhetsavfall;Tegel;Vikt;;VIKG;1.00;kilogram, tegel;
6.1.2;Fönster- och planglas utan karm;;kilogram;6.1;ÅVC/verksamhetsavfall;;Vikt;;VIKG;0.75;fönster-och, karm, kilogram, planglas;Avfallstyp kunde inte härledas.
6.1.2;Fönster med karm;;;6.1;ÅVC/verksamhetsavfall;;;;;0.50;fönster, karm;Faktor kunde inte härledas från enhet/text. | Avfallstyp kunde inte härledas.
6.1.2;Plast;;kilogram;6.1;ÅVC/verksamhetsavfall;Plast;Vikt;;VIKG;1.00;kilogram, plast;
6.1.2;Isolering utan innehåll av asbest;;m³;6.1;ÅVC/verksamhetsavfall;Asbest;Volym;;VOLM;1.00;asbest, innehåll, isolering;
6.1.2;Klinker, keramik, porslin;;kilogram;6.1;ÅVC/verksamhetsavfall;;Vikt;;VIKG;0.75;keramik, kilogram, klinker, porslin;Avfallstyp kunde inte härledas.
6.1.2;Handfat;;styck;6.1;ÅVC/verksamhetsavfall;;Styck;;ST;0.75;handfat, styck;Avfallstyp kunde inte härledas.
6.1.2;WC-stol;;styck;6.1;ÅVC/verksamhetsavfall;;Styck;;ST;0.75;styck, wc-stol;Avfallstyp kunde inte härledas.
6.1.2;Metall;;kilogram;6.1;ÅVC/verksamhetsavfall;Metall;Vikt;;VIKG;1.00;kilogram, metall;
6.1.2;Textilier;;kilogram;6.1;ÅVC/verksamhetsavfall;;Vikt;;VIKG;0.75;kilogram, textilier;Avfallstyp kunde inte härledas.
6.1.2;Fiskeredskap;;kilogram;6.1;ÅVC/verksamhetsavfall;;Vikt;;VIKG;0.75;fiskeredskap, kilogram;Avfallstyp kunde inte härledas.
6.1.2;Ätbart fett/frityrolja;;liter;6.1;ÅVC/verksamhetsavfall;;Behållarvolym;;VOLYM/BEHÅLLARE;0.75;fett, frityrolja, liter, ätbart;Avfallstyp kunde inte härledas.
6.1.2;Kvistar och grenar;;m³;6.1;ÅVC/verksamhetsavfall;;Volym;;VOLM;0.75;grenar, kvistar;Avfallstyp kunde inte härledas.
