Status;Metod;Parser paragraf;Parser taxapunkt;Parser variant;Parser enhet;Excel rad;Excel taxapunkt;Excel variant;Excel enhet;Excel taxakod;Kommentar
COVERED;exact row;2.2.4;Kärl 370 l (restavfall);;kärl;20;Kärl 370 l (restavfall);;kärl;XX kr;
COVERED;exact row;2.2.4;Kärl 660 l (restavfall);;kärl;21;Kärl 660 l (restavfall);;kärl;XX kr;
COVERED;exact row;2.2.4;Kärl 140 l (matavfall);;kärl;22;Kärl 140 l (matavfall);;kärl;XX kr;
COVERED;exact row;2.2.4;Kärl 190 l (förpackningar);;kärl;23;Kärl 190 l (förpackningar);;kärl;XX kr;
COVERED;exact row;2.2.4;Kärl 370 l (förpackningar);;kärl;24;Kärl 370 l (förpackningar);;kärl;XX kr;
COVERED;exact row;2.2.4;Kärl 660 l (förpackningar);;kärl;25;Kärl 660 l (förpackningar);;kärl;XX kr;
COVERED;exact row;2.2.4;Kärl 190 l (tidningar och returpapper);;kärl;26;Kärl 190 l (tidningar och returpapper);;kärl;XX kr;
COVERED;exact row;2.2.4;Kärl 370 l (tidningar och returpapper);;kärl;27;Kärl 370 l (tidningar och returpapper);;kärl;XX kr;
COVERED;exact row;2.2.4;(mat-/restavfall, förpackningar);;;28;(mat-/restavfall, förpackningar);;;XX kr;
COVERED;exact row;2.2.5;Kärl 240 l (mat-/restavfall);;kärl;29;Kärl 240 l (mat-/restavfall);;kärl;XX kr;
COVERED;exact row;2.2.5;Kärl 370 l (restavfall);;kärl;30;Kärl 370 l (restavfall);;kärl;XX kr;
COVERED;exact row;2.2.5;Kärl 660 l (restavfall);;kärl;31;Kärl 660 l (restavfall);;kärl;XX kr;
COVERED;exact row;2.2.5;Kärl 140 l (matavfall);;kärl;32;Kärl 140 l (matavfall);;kärl;XX kr;
COVERED;exact row;2.2.5;Bottentömmande behållare (mat-/restavfall);;;33;Bottentömmande behållare (mat-/restavfall);;;XX kr;
COVERED;exact row;2.2.5;Lastväxlarflak (restavfall);;;34;Lastväxlarflak (restavfall);;;XX kr;
COVERED;exact row;2.2.6;Kärl 240 l (mat-/restavfall);;kärl;35;Kärl 240 l (mat-/restavfall);;kärl;XX kr;
COVERED;exact row;2.2.6;Kärl 370 l (restavfall);;kärl;36;Kärl 370 l (restavfall);;kärl;XX kr;
COVERED;exact row;2.2.6;Kärl 660 l (restavfall);;kärl;37;Kärl 660 l (restavfall);;kärl;XX kr;
COVERED;exact row;2.2.6;Kärl 140 l (matavfall);;kärl;38;Kärl 140 l (matavfall);;kärl;XX kr;
COVERED;exact row;2.2.6;Bottentömmande behållare (mat-/restavfall);;;39;Bottentömmande behållare (mat-/restavfall);;;XX kr;
COVERED;exact row;2.2.6;Lastväxlarflak (restavfall);;;40;Lastväxlarflak (restavfall);;;XX kr;
COVERED;exact row;2.2.7;Kärl 140 l (kontors-/returpapper);;kärl;41;Kärl 140 l (kontors-/returpapper);;kärl;XX kr;
COVERED;exact row;2.2.7;Egen överlämning av förbrukat kontors-/returpapper enligt anvisning;;;42;Egen överlämning av förbrukat kontors-/returpapper enligt anvisning;;;XX kr;
COVERED;exact row;2.2.7;Egen överlämning av förbrukat matfett enligt anvisning;;;43;Egen överlämning av förbrukat matfett enligt anvisning;;;XX kr;
COVERED;exact row;2.3;Viktavgift matavfall;;;44;Viktavgift matavfall;;;XX kr;
COVERED;exact row;2.3;Viktavgift restavfall;;;45;Viktavgift restavfall;;;XX kr;
COVERED;exact row;2.3;Lyftavgift kärl;;kärl;46;Lyftavgift kärl;;kärl;XX kr;
COVERED;exact row;2.4.1;Fakturavgift;;;47;Fakturavgift;;;XX kr;
COVERED;exact row;2.4.2;Delat kärl 240 l matavfall 40 kg;;kilogram;48;Delat kärl 240 l matavfall 40 kg;;kilogram;XX kr;
COVERED;exact row;2.4.2;Delat kärl 240 l restavfall 40 kg;;kilogram;49;Delat kärl 240 l restavfall 40 kg;;kilogram;XX kr;
COVERED;exact row;2.4.2;Extra kärl 140 l matavfall 60 kg;;kilogram;50;Extra kärl 140 l matavfall 60 kg;;kilogram;XX kr;
COVERED;exact row;2.4.2;Extra kärl 140-190 l restavfall 60 kg;;kilogram;51;Extra kärl 140-190 l restavfall 60 kg;;kilogram;XX kr;
COVERED;exact row;2.4.2;Kärl 370 l restavfall 60 kg;;kilogram;52;Kärl 370 l restavfall 60 kg;;kilogram;XX kr;
COVERED;exact row;2.4.2;Kärl 660 l restavfall 100 kg;;kilogram;53;Kärl 660 l restavfall 100 kg;;kilogram;XX kr;
COVERED;exact row;2.4.3;Överfullt kärl;;kärl;54;Överfullt kärl;;kärl;XX kr;
COVERED;exact row;2.4.3;Överfull bottentömmande behållare;;;55;Överfull bottentömmande behållare;;;XX kr;
COVERED;exact row;2.4.4;Byte av trasigt kärl vid oaktsamhet;;kärl;56;Byte av trasigt kärl vid oaktsamhet;;kärl;XX kr;
COVERED;exact row;2.4.5;Byte/återtag av kärl en (1) ggr/år 140–240 liter;;liter;57;Byte/återtag av kärl en (1) ggr/år 140–240 liter;;liter;XX kr;
COVERED;exact row;2.4.5;Byte/återtag av kärl en (1) ggr/år 370–660 liter;;liter;58;Byte/återtag av kärl en (1) ggr/år 370–660 liter;;liter;XX kr;
COVERED;exact row;2.4.5;Ytterligare byte av kärl under kalenderåret;;kärl;59;Ytterligare byte av kärl under kalenderåret;;kärl;XX kr;
COVERED;exact row;2.4.6;Kärl;;kärl;60;Kärl;;kärl;XX kr;
COVERED;exact row;2.4.6;Bottentömmande behållare;;;61;Bottentömmande behållare;;;XX kr;
COVERED;exact row;2.4.7;Kärl 140-660 L 1,5-10;;kärl;62;Kärl 140-660 L 1,5-10;;kärl;XX kr;
COVERED;exact row;2.4.7;Kärl 140-660 L 10-20;;kärl;63;Kärl 140-660 L 10-20;;kärl;XX kr;
COVERED;exact row;2.4.7;Kärl 140-660 L 20-30;;kärl;64;Kärl 140-660 L 20-30;;kärl;XX kr;
COVERED;exact row;2.4.7;Avfallsport/dörr;;;65;Avfallsport/dörr;;;XX kr;
COVERED;exact row;2.4.7;Låst dörr, med kod;;;66;Låst dörr, med kod;;;XX kr;
COVERED;exact row;2.4.8;Kärl 140 l matavfall;;kärl;67;Kärl 140 l matavfall;;kärl;XX kr;
COVERED;exact row;2.4.8;Kärl 190 l restavfall;;kärl;68;Kärl 190 l restavfall;;kärl;XX kr;
COVERED;exact row;2.4.8;Kärl 370 l restavfall;;kärl;69;Kärl 370 l restavfall;;kärl;XX kr;
COVERED;exact row;2.4.8;Kärl 660 l restavfall;;kärl;70;Kärl 660 l restavfall;;kärl;XX kr;
COVERED;exact row;2.4.8;Bottentömmande behållare;;;71;Bottentömmande behållare;;;XX kr;
COVERED;exact row;2.4.9;Sidlastande fordon;;;72;Sidlastande fordon;;;XX kr;
COVERED;exact row;2.4.9;Bottentömmande fordon;;;73;Bottentömmande fordon;;;XX kr;
COVERED;exact row;2.4.9;Tömningsavgift per behållare;;;74;Tömningsavgift per behållare;;;XX kr;
COVERED;exact row;2.4.10;Betalsäck;;;75;Betalsäck;;;XX kr;
COVERED;exact row;2.4.10;Akutsäck;;;76;Akutsäck;;;XX kr;
COVERED;exact row;2.4.11;Matavfallspåsar 9 L;;;77;Matavfallspåsar 9 L;;;XX kr;
COVERED;exact row;2.4.11;Matavfallspåsar 22 L;;;78;Matavfallspåsar 22 L;;;XX kr;
COVERED;exact row;2.4.11;Gravitationslås till kärl;;kärl;79;Gravitationslås till kärl;;kärl;XX kr;
COVERED;exact row;2.4.11;Extra nyckel till gravitationslås;;;80;Extra nyckel till gravitationslås;;;XX kr;
COVERED;exact row;2.5.1;Kommunalt avfall;;;81;Kommunalt avfall;;;XX kr;
COVERED;exact row;2.5.1;Farligt avfall (ej uppmärkt);;;82;Farligt avfall (ej uppmärkt);;;XX kr;
COVERED;exact row;2.5.1;Farligt avfall (uppmärkt);;;83;Farligt avfall (uppmärkt);;;XX kr;
COVERED;exact row;2.5.1;Avisering av ankomst;;;84;Avisering av ankomst;;;XX kr;
COVERED;exact row;3.1;Upp till 3 m3;;m³;85;Upp till 3 m3;;m³;XX kr;
COVERED;exact row;3.1;Mellan 3 m3 och 6 m3;;m³;86;Mellan 3 m3 och 6 m3;;m³;XX kr;
COVERED;exact row;3.1;Mellan 6 m3 och 9 m3;;m³;87;Mellan 6 m3 och 9 m3;;m³;XX kr;
COVERED;exact row;3.1;Tillägg per m3 över 9 m3;;m³;88;Tillägg per m3 över 9 m3;;m³;XX kr;
COVERED;exact row;3.1;Bad-, disk- och tvättbrunn upp till 3 m3;;m³;89;Bad-, disk- och tvättbrunn upp till 3 m3;;m³;XX kr;
COVERED;exact row;3.1;Tillägg per m3 över 3 m3;;m³;90;Tillägg per m3 över 3 m3;;m³;XX kr;
COVERED;exact row;3.2;Dragning av extra slang vid 5-25 m;;;91;Dragning av extra slang vid 5-25 m;;;XX kr;
COVERED;exact row;3.2;Dragning av extra slang vid 25-35 m;;;92;Dragning av extra slang vid 25-35 m;;;XX kr;
COVERED;exact row;3.2;Dragning av extra slang vid 36-45 m;;;93;Dragning av extra slang vid 36-45 m;;;XX kr;
COVERED;exact row;3.2;Dragning av extra slang vid 46-55 m;;;94;Dragning av extra slang vid 46-55 m;;;XX kr;
COVERED;exact row;3.2;Hantering av brunnslock som väger 15-25 kg;;kilogram;95;Hantering av brunnslock som väger 15-25 kg;;kilogram;XX kr;
COVERED;exact row;3.2;Krav på information om tömningstid;;;96;Krav på information om tömningstid;;;XX kr;
COVERED;exact row;3.2;Krav på närvaro vid specificerad tömningstid;;;97;Krav på närvaro vid specificerad tömningstid;;;XX kr;
COVERED;exact row;3.2;Hantering av kod för kodlås vid slamtömning;;;98;Hantering av kod för kodlås vid slamtömning;;;XX kr;
COVERED;exact row;3.2;Hetvattentvätt med spolbil, timersättning;;;99;Hetvattentvätt med spolbil, timersättning;;;XX kr;
COVERED;exact row;3.2;Tömning av extra tank/brunn i samband med ordinarie/budad tömning upp till 5 m3;;m³;100;Tömning av extra tank/brunn i samband med ordinarie/budad tömning upp till 5 m3;;m³;XX kr;
COVERED;exact row;3.3;Budning inom ordinarie tömningsperiod (1 maj- 31 oktober);;;101;Budning inom ordinarie tömningsperiod (1 maj- 31 oktober);;;XX kr;
COVERED;exact row;3.3;Budning utanför ordinarie tömningsperiod (1 nov – 30 april);;;102;Budning utanför ordinarie tömningsperiod (1 nov – 30 april);;;XX kr;
COVERED;exact row;3.3;Tömning av toalettvagnar eller liknande /styck;;styck;103;Tömning av toalettvagnar eller liknande /styck;;styck;XX kr;
COVERED;exact row;3.4;Latrinbehållare 37 liter inkl. mottagning och behandling;;liter;104;Latrinbehållare 37 liter inkl. mottagning och behandling;;liter;XX kr;
COVERED;exact row;4.1;Filtermassor upp till 500 kg;;kilogram;105;Filtermassor upp till 500 kg;;kilogram;XX kr;
COVERED;exact row;4.1;Filtermassor 500-1000 kg;;kilogram;106;Filtermassor 500-1000 kg;;kilogram;XX kr;
COVERED;exact row;4.2;Krav på information om hämtningstid;;;107;Krav på information om hämtningstid;;;XX kr;
COVERED;exact row;4.2;Krav på närvaro vid specificerad hämtningstid;;;108;Krav på närvaro vid specificerad hämtningstid;;;XX kr;
COVERED;exact row;4.2;Hantering av kod för kodlås;;;109;Hantering av kod för kodlås;;;XX kr;
COVERED;exact row;5.1;Upp till 3 m3;;m³;110;Upp till 3 m3;;m³;XX kr;
COVERED;exact row;5.1;Mellan 3 m3 och 6 m3;;m³;111;Mellan 3 m3 och 6 m3;;m³;XX kr;
COVERED;exact row;5.1;Över 6 m3;;m³;112;Över 6 m3;;m³;XX kr;
COVERED;exact row;5.2;Dragning av extra slang vid 5-25 m;;;113;Dragning av extra slang vid 5-25 m;;;XX kr;
COVERED;exact row;5.2;Dragning av extra slang vid 25-35 m;;;114;Dragning av extra slang vid 25-35 m;;;XX kr;
COVERED;exact row;5.2;Dragning av extra slang vid 36-45 m;;;115;Dragning av extra slang vid 36-45 m;;;XX kr;
COVERED;exact row;5.2;Dragning av extra slang vid 46-55 m;;;116;Dragning av extra slang vid 46-55 m;;;XX kr;
COVERED;exact row;5.2;Hantering av brunnslock som väger 15-25 kg;;kilogram;117;Hantering av brunnslock som väger 15-25 kg;;kilogram;XX kr;
COVERED;exact row;5.2;Krav på information om tömningstid;;;118;Krav på information om tömningstid;;;XX kr;
COVERED;exact row;5.2;Krav på närvaro vid specificerad tömningstid;;;119;Krav på närvaro vid specificerad tömningstid;;;XX kr;
COVERED;exact row;5.2;Hantering av kod för kodlås vid tömning;;tömning;120;Hantering av kod för kodlås vid tömning;;tömning;XX kr;
COVERED;exact row;5.2;Hetvattentvätt med spolbil, timersättning;;;121;Hetvattentvätt med spolbil, timersättning;;;XX kr;
COVERED;exact row;5.2;Silikontätning per lock;;;122;Silikontätning per lock;;;XX kr;
COVERED;exact row;5.2;Tömning av extra tank i samband med ordinarie/budad tömning upp till 5 m3;;m³;123;Tömning av extra tank i samband med ordinarie/budad tömning upp till 5 m3;;m³;XX kr;
COVERED;exact row;5.3;Budning inom ordinarie tömningsperiod (1 maj- 31 oktober);;;124;Budning inom ordinarie tömningsperiod (1 maj- 31 oktober);;;XX kr;
COVERED;exact row;5.3;Budning utanför ordinarie tömningsperiod;;;125;Budning utanför ordinarie tömningsperiod;;;XX kr;
COVERED;exact row;6.1.1;Verksamheter;;;126;Verksamheter;;;XX kr;
COVERED;exact row;6.1.1;Övriga abonnemangstyper;;;127;Övriga abonnemangstyper;;;XX kr;
COVERED;exact row;6.1.1;Vågkort;;;128;Vågkort;;;XX kr;
COVERED;exact row;6.1.1;Borttappat vågkort;;;129;Borttappat vågkort;;;XX kr;
COVERED;exact row;6.1.1;Ej redovisad ankomst till ÅVC (för företagare och privatpersoner som lämnar verksamhetsavfall utan att anmäla sin ankomst);;besök;130;Ej redovisad ankomst till ÅVC (för företagare och privatpersoner som lämnar verksamhetsavfall utan att anmäla sin ankomst);;besök;XX kr;
COVERED;exact row;6.1.1;Ej redovisad eller fel redovisad fraktion av avfall;;fraktion;131;Ej redovisad eller fel redovisad fraktion av avfall;;fraktion;XXXX kr;
COVERED;exact row;6.1.2;Avfall till energiåtervinning (240 L sopsäck);;styck;132;Avfall till energiåtervinning (240 L sopsäck);;styck;;
COVERED;exact row;6.1.2;Avfall till energiåtervinning;;kilogram;133;Avfall till energiåtervinning;;kilogram;;
COVERED;exact row;6.1.2;Skrymmande avfall till energiåtervinning större än 20×20×80;;kilogram;134;Skrymmande avfall till energiåtervinning större än 20×20×80;;kilogram;;
COVERED;exact row;6.1.2;Träavfall – obehandlat, utan tapet, plastmatta, tjärpapp;;kilogram;135;Träavfall – obehandlat, utan tapet, plastmatta, tjärpapp;;kilogram;;
COVERED;exact row;6.1.2;Träavfall – behandlat, utan tapet, plastmatta, tjärpapp;;kilogram;136;Träavfall – behandlat, utan tapet, plastmatta, tjärpapp;;kilogram;;
COVERED;exact row;6.1.2;Tryckimpregnerat virke, pall;;kilogram;137;Tryckimpregnerat virke, pall;;kilogram;;
COVERED;exact row;6.1.2;Betong, lättbetong;;kilogram;138;Betong, lättbetong;;kilogram;;
COVERED;exact row;6.1.2;Gips, gipsskivor;;kilogram;139;Gips, gipsskivor;;kilogram;;
COVERED;exact row;6.1.2;Tegel;;kilogram;140;Tegel;;kilogram;;
COVERED;exact row;6.1.2;Fönster- och planglas utan karm;;kilogram;141;Fönster- och planglas utan karm;;kilogram;;
COVERED;exact row;6.1.2;Fönster med karm;;;142;Fönster med karm;;;;
COVERED;exact row;6.1.2;Plast;;kilogram;143;Plast;;kilogram;;
COVERED;exact row;6.1.2;Isolering utan innehåll av asbest;;m³;144;Isolering utan innehåll av asbest;;m³;;
COVERED;exact row;6.1.2;Klinker, keramik, porslin;;kilogram;145;Klinker, keramik, porslin;;kilogram;;
COVERED;exact row;6.1.2;Handfat;;styck;146;Handfat;;styck;;
COVERED;exact row;6.1.2;WC-stol;;styck;147;WC-stol;;styck;;
COVERED;exact row;6.1.2;Metall;;kilogram;148;Metall;;kilogram;;
COVERED;exact row;6.1.2;Textilier;;kilogram;149;Textilier;;kilogram;;
COVERED;exact row;6.1.2;Fiskeredskap;;kilogram;150;Fiskeredskap;;kilogram;;
COVERED;exact row;6.1.2;Ätbart fett/frityrolja;;liter;151;Ätbart fett/frityrolja;;liter;;
COVERED;exact row;6.1.2;Kvistar och grenar;;m³;152;Kvistar och grenar;;m³;;
COVERED;exact row;6.1.2;Jord;;;153;Jord;;;;
COVERED;exact row;6.1.2;Sten;;;154;Sten;;;;
COVERED;exact row;6.1.2;Stubbar/rötter för krossning;;;155;Stubbar/rötter för krossning;;;;
COVERED;exact row;6.1.2;Flera fraktioner för egen sortering på ramp (max 2 m³);;m³;156;Flera fraktioner för egen sortering på ramp (max 2 m³);;m³;;
COVERED;exact row;6.1.2;Osorterat avfall till sortering (ej innehåll av farligt avfall och elavfall);;;157;Osorterat avfall till sortering (ej innehåll av farligt avfall och elavfall);;;;
COVERED;exact row;6.1.2;Tonerkassetter, utan elektronik/chip;;kilogram;158;Tonerkassetter, utan elektronik/chip;;kilogram;31,88;
COVERED;exact row;6.1.2;Oljeemulsion, emballerat;;kilogram;159;Oljeemulsion, emballerat;;kilogram;20,81;
COVERED;exact row;6.1.2;Förorenad olja innehållande PCB;;kilogram;160;Förorenad olja innehållande PCB;;kilogram;38,25;
COVERED;exact row;6.1.2;Oljeavskiljarslam;;kilogram;161;Oljeavskiljarslam;;kilogram;6,56;
COVERED;exact row;6.1.2;Diesel;;kilogram;162;Diesel;;kilogram;21,94;
COVERED;exact row;6.1.2;Bensinrester;;kilogram;163;Bensinrester;;kilogram;21,94;
COVERED;exact row;6.1.2;Hydralslang, med/utan koppling;;kilogram;164;Hydralslang, med/utan koppling;;kilogram;33,94;
COVERED;exact row;6.1.2;Förpackningar, tömde ej rengjorda;;kilogram;165;Förpackningar, tömde ej rengjorda;;kilogram;25,50;
COVERED;exact row;6.1.2;Oljeavfall, fast osorterat emba;;kilogram;166;Oljeavfall, fast osorterat emba;;kilogram;23,44;
COVERED;exact row;6.1.2;Absorbermedel, filtermaterial;;kilogram;167;Absorbermedel, filtermaterial;;kilogram;15,38;
COVERED;exact row;6.1.2;Oljefilter;;kilogram;168;Oljefilter;;kilogram;15,38;
COVERED;exact row;6.1.2;Bromsvätska;;kilogram;169;Bromsvätska;;kilogram;11,44;
COVERED;exact row;6.1.2;Transformator, kondensator med PCB;;kilogram;170;Transformator, kondensator med PCB;;kilogram;84,94;
COVERED;exact row;6.1.2;Fogskum;;kilogram;171;Fogskum;;kilogram;90,00;
COVERED;exact row;6.1.2;Halon;;kilogram;172;Halon;;kilogram;127,50;
COVERED;exact row;6.1.2;Koldioxid;;kilogram;173;Koldioxid;;kilogram;112,13;
COVERED;exact row;6.1.2;Brandsläckare;;kilogram;174;Brandsläckare;;kilogram;91,69;
COVERED;exact row;6.1.2;Helium;;kilogram;175;Helium;;kilogram;117,19;
COVERED;exact row;6.1.2;Tändare;;kilogram;176;Tändare;;kilogram;127,50;
COVERED;exact row;6.1.2;Syrgas;;kilogram;177;Syrgas;;kilogram;117,19;
COVERED;exact row;6.1.2;Oxiderande fast ämne/vätska;;kilogram;178;Oxiderande fast ämne/vätska;;kilogram;103,31;
COVERED;exact row;6.1.2;Klorex;;kilogram;179;Klorex;;kilogram;103,31;
COVERED;exact row;6.1.2;Aerosoler isocyanat, bekämpning;;kilogram;180;Aerosoler isocyanat, bekämpning;;kilogram;101,06;
COVERED;exact row;6.1.2;Gasol inkl tub;;kilogram;181;Gasol inkl tub;;kilogram;102,00;
COVERED;exact row;6.1.2;Gasol, blå programmet;;kilogram;182;Gasol, blå programmet;;kilogram;169,88;
COVERED;exact row;6.1.2;Giftig organisk vätska;;kilogram;183;Giftig organisk vätska;;kilogram;103,31;
COVERED;exact row;6.1.2;Småkemikalier, ej Hg-haltiga;;kilogram;184;Småkemikalier, ej Hg-haltiga;;kilogram;103,31;
COVERED;exact row;6.1.2;Giftig oorganisk vätska;;kilogram;185;Giftig oorganisk vätska;;kilogram;103,31;
COVERED;exact row;6.1.2;Oxidationsmedel, flytande;;kilogram;186;Oxidationsmedel, flytande;;kilogram;103,31;
COVERED;exact row;6.1.2;Asbest, emballerat;;kilogram;187;Asbest, emballerat;;kilogram;22,88;
COVERED;exact row;6.1.2;Smittförande avfall;;kilogram;188;Smittförande avfall;;kilogram;40,31;
COVERED;exact row;6.1.2;Lösningsmedel;;kilogram;189;Lösningsmedel;;kilogram;20,63;
COVERED;exact row;6.1.2;Väteperoxid;;kilogram;190;Väteperoxid;;kilogram;103,31;
COVERED;exact row;6.1.2;Flourvätesyra;;kilogram;191;Flourvätesyra;;kilogram;81,38;
COVERED;exact row;6.1.2;Svavelsyra;;kilogram;192;Svavelsyra;;kilogram;81,38;
COVERED;exact row;6.1.2;Salpetersyra;;kilogram;193;Salpetersyra;;kilogram;81,38;
COVERED;exact row;6.1.2;Surt oorganisk fast ämne;;kilogram;194;Surt oorganisk fast ämne;;kilogram;103,31;
COVERED;exact row;6.1.2;Surt organisk fast ämne;;kilogram;195;Surt organisk fast ämne;;kilogram;127,50;
COVERED;exact row;6.1.2;Surt oorganisk vätska;;kilogram;196;Surt oorganisk vätska;;kilogram;127,50;
COVERED;exact row;6.1.2;Surt organisk vätska;;kilogram;197;Surt organisk vätska;;kilogram;127,50;
COVERED;exact row;6.1.2;Ammoniaklösning;;kilogram;198;Ammoniaklösning;;kilogram;63,38;
COVERED;exact row;6.1.2;Alkaliskt avfall fast;;kilogram;199;Alkaliskt avfall fast;;kilogram;27,75;
COVERED;exact row;6.1.2;Basiskt organiskt fast/flytande;;kilogram;200;Basiskt organiskt fast/flytande;;kilogram;46,50;
COVERED;exact row;6.1.2;Fotokemikalier;;kilogram;201;Fotokemikalier;;kilogram;38,25;
COVERED;exact row;6.1.2;Bekämpningsmedel aerosoler;;kilogram;202;Bekämpningsmedel aerosoler;;kilogram;73,69;
COVERED;exact row;6.1.2;Bekämpningsmedel fast;;kilogram;203;Bekämpningsmedel fast;;kilogram;85,88;
COVERED;exact row;6.1.2;Bekämpningsmedel flytande;;kilogram;204;Bekämpningsmedel flytande;;kilogram;61,69;
COVERED;exact row;6.1.2;Kvicksilverhaltigt avfall;;kilogram;205;Kvicksilverhaltigt avfall;;kilogram;1 034,81;
COVERED;exact row;6.1.2;Kvicksilver i föremål;;kilogram;206;Kvicksilver i föremål;;kilogram;1 034,81;
COVERED;exact row;6.1.2;Oljehaltigt avfall (ej PCB);;liter;207;Oljehaltigt avfall (ej PCB);;liter;15,94;
COVERED;exact row;6.1.2;Olja förorenad (ej PCB);;liter;208;Olja förorenad (ej PCB);;liter;23,44;
COVERED;exact row;6.1.2;Färg-, lack-, limburkar lösning;;kilogram;209;Färg-, lack-, limburkar lösning;;kilogram;19,88;
COVERED;exact row;6.1.2;Färg-, lack-, limburkar lösning aerosoler;;kilogram;210;Färg-, lack-, limburkar lösning aerosoler;;kilogram;43,31;
COVERED;exact row;6.1.2;Isocyanater;;kilogram;211;Isocyanater;;kilogram;103,88;
COVERED;exact row;6.1.2;Härdare metyl- etylketonperoxid;;kilogram;212;Härdare metyl- etylketonperoxid;;kilogram;109,88;
COVERED;exact row;6.1.2;Härdare dibenzoylperoxid;;kilogram;213;Härdare dibenzoylperoxid;;kilogram;114,38;
COVERED;exact row;6.1.2;Färg-,lack-, limburkar vattenbaserade;;kilogram;214;Färg-,lack-, limburkar vattenbaserade;;kilogram;15,38;
COVERED;exact row;6.1.2;Tensida alkaliska flytande avfall;;kilogram;215;Tensida alkaliska flytande avfall;;kilogram;25,50;
COVERED;exact row;6.1.2;Rengöring/vaskmedel fast;;kilogram;216;Rengöring/vaskmedel fast;;kilogram;27,19;
COVERED;exact row;6.1.2;Alkaliska flytande avfall;;kilogram;217;Alkaliska flytande avfall;;kilogram;27,75;
COVERED;exact row;6.1.2;Cytotoxiska läkemedel, cytostat;;kilogram;218;Cytotoxiska läkemedel, cytostat;;kilogram;64,88;
COVERED;exact row;6.1.2;Rökdetektor med andra isotoper;;kilogram;219;Rökdetektor med andra isotoper;;kilogram;1 911,75;
COVERED;exact row;6.1.2;Rökdetektor med Am 241;;kilogram;220;Rökdetektor med Am 241;;kilogram;1 911,75;
COVERED;exact row;6.1.2;Batterier stav, pencell;;kilogram;221;Batterier stav, pencell;;kilogram;0,00;
COVERED;exact row;6.1.2;Batterier lithium;;kilogram;222;Batterier lithium;;kilogram;0,00;
COVERED;exact row;6.1.2;Bil-, mcbatteri med bly;;styck;223;Bil-, mcbatteri med bly;;styck;0,00;
COVERED;exact row;6.1.2;Glödlampor;;kilogram;224;Glödlampor;;kilogram;0,00;
COVERED;exact row;6.1.2;Lysrör;;kilogram;225;Lysrör;;kilogram;0,00;
COVERED;exact row;6.1.2;Elavfall, små elektronik;;kilogram;226;Elavfall, små elektronik;;kilogram;0,00;
COVERED;exact row;6.1.2;El-avfall fast installation;;kilogram;227;El-avfall fast installation;;kilogram;37,60;
COVERED;exact row;6.1.2;El-avfall kabel;;kilogram;228;El-avfall kabel;;kilogram;0,00;
COVERED;exact row;6.1.2;Toner, färgpatron med elektronik;;kilogram;229;Toner, färgpatron med elektronik;;kilogram;37,60;
COVERED;exact row;6.1.2;Tv, radio, skärm, skrivare utan färgpatron;;kilogram;230;Tv, radio, skärm, skrivare utan färgpatron;;kilogram;0,00;
