Sheet;Candidate row;Score;Non-empty count;Values
Taxepunkter;21;0.215;10;"§2.2.1 | Hämtningsavgift per år för en- och tvåbostadshus | Kärl 240 l (mat-/restavfall) | Hämtning månadsvis | st/år | =IF($F21<>"""",IFERROR(_xlfn.XLOOKUP($F21,Taxa_från_edp!$B:$B,Taxa_från_edp!C:C),""""),"""") | =IF($F21<>"""",IFERROR(_xlfn.XLOOKUP($F21,Taxa_från_edp!$B:$B,Taxa_från_edp!G:G),""""),"""") | =IF($F21<>"""",IFERROR(_xlfn.XLOOKUP($F21,Taxa_från_edp!$B:$B,Taxa_från_edp!K:K),""""),"""")"
Taxepunkter;23;0.215;10;"§2.2.1 | Hämtningsavgift per år för en- och tvåbostadshus | Extrakärl 190 l (restavfall) | Hämtning månadsvis | st/år | =IF($F23<>"""",IFERROR(_xlfn.XLOOKUP($F23,Taxa_från_edp!$B:$B,Taxa_från_edp!C:C),""""),"""") | =IF($F23<>"""",IFERROR(_xlfn.XLOOKUP($F23,Taxa_från_edp!$B:$B,Taxa_från_edp!G:G),""""),"""") | =IF($F23<>"""",IFERROR(_xlfn.XLOOKUP($F23,Taxa_från_edp!$B:$B,Taxa_från_edp!K:K),""""),"""")"
Taxepunkter;24;0.215;10;"§2.2.1 | Hämtningsavgift per år för en- och tvåbostadshus | Kärl 370 l (papper-/plastförpackningar) | Kostnadsfritt | st/år | =IF($F24<>"""",IFERROR(_xlfn.XLOOKUP($F24,Taxa_från_edp!$B:$B,Taxa_från_edp!C:C),""""),"""") | =IF($F24<>"""",IFERROR(_xlfn.XLOOKUP($F24,Taxa_från_edp!$B:$B,Taxa_från_edp!G:G),""""),"""") | =IF($F24<>"""",IFERROR(_xlfn.XLOOKUP($F24,Taxa_från_edp!$B:$B,Taxa_från_edp!K:K),""""),"""")"
Taxepunkter;27;0.215;10;"§2.2.2 | Hämtningsavgift per år för fritidshus | Kärl 240 l (mat-/restavfall) | Hämtning månadsvis | st/år | =IF($F27<>"""",IFERROR(_xlfn.XLOOKUP($F27,Taxa_från_edp!$B:$B,Taxa_från_edp!C:C),""""),"""") | =IF($F27<>"""",IFERROR(_xlfn.XLOOKUP($F27,Taxa_från_edp!$B:$B,Taxa_från_edp!G:G),""""),"""") | =IF($F27<>"""",IFERROR(_xlfn.XLOOKUP($F27,Taxa_från_edp!$B:$B,Taxa_från_edp!K:K),""""),"""")"
Taxepunkter;29;0.215;10;"§2.2.2 | Hämtningsavgift per år för fritidshus | Kärl 370 l (papper-/plastförpackningar) | Kostnadsfritt | st/år | =IF($F29<>"""",IFERROR(_xlfn.XLOOKUP($F29,Taxa_från_edp!$B:$B,Taxa_från_edp!C:C),""""),"""") | =IF($F29<>"""",IFERROR(_xlfn.XLOOKUP($F29,Taxa_från_edp!$B:$B,Taxa_från_edp!G:G),""""),"""") | =IF($F29<>"""",IFERROR(_xlfn.XLOOKUP($F29,Taxa_från_edp!$B:$B,Taxa_från_edp!K:K),""""),"""")"
Taxepunkter;14;0.2014;9;"§2.1 | Grundavgift | Anläggning | st/år | =IF($F14<>"""",IFERROR(_xlfn.XLOOKUP($F14,Taxa_från_edp!$B:$B,Taxa_från_edp!C:C),""""),"""") | =IF($F14<>"""",IFERROR(_xlfn.XLOOKUP($F14,Taxa_från_edp!$B:$B,Taxa_från_edp!G:G),""""),"""") | =IF($F14<>"""",IFERROR(_xlfn.XLOOKUP($F14,Taxa_från_edp!$B:$B,Taxa_från_edp!K:K),""""),"""")"
Taxepunkter;15;0.2014;9;"§2.1 | Grundavgift | Säsongsbaserad uppställningsplats | st/år | =IF($F15<>"""",IFERROR(_xlfn.XLOOKUP($F15,Taxa_från_edp!$B:$B,Taxa_från_edp!C:C),""""),"""") | =IF($F15<>"""",IFERROR(_xlfn.XLOOKUP($F15,Taxa_från_edp!$B:$B,Taxa_från_edp!G:G),""""),"""") | =IF($F15<>"""",IFERROR(_xlfn.XLOOKUP($F15,Taxa_från_edp!$B:$B,Taxa_från_edp!K:K),""""),"""")"
Taxepunkter;17;0.2014;9;"§2.1 | Grundavgift | Administrativ avgift vid beviljad dispens om uppehåll i hämtning eller eget omhändertagande av avfall under kommunalt ansvar | st/år | =IF($F17<>"""",IFERROR(_xlfn.XLOOKUP($F17,Taxa_från_edp!$B:$B,Taxa_från_edp!C:C),""""),"""") | =IF($F17<>"""",IFERROR(_xlfn.XLOOKUP($F17,Taxa_från_edp!$B:$B,Taxa_från_edp!G:G),""""),"""") | =IF($F17<>"""",IFERROR(_xlfn.XLOOKUP($F17,Taxa_från_edp!$B:$B,Taxa_från_edp!K:K),""""),"""")"
Taxepunkter;18;0.1875;7;"§2.2 Årlig hämtningsavgift per abonnemangstyp | =IF($F18<>"""",$F18,IFERROR(_xlfn.XLOOKUP(ROW(),Taxa_Saknas!$H:$H,Taxa_Saknas!$G:$G),"""")) | =IF($F18<>"""",IFERROR(_xlfn.XLOOKUP($F18,Taxa_från_edp!$B:$B,Taxa_från_edp!C:C),""""),"""") | =IF($F18<>"""",IFERROR(_xlfn.XLOOKUP($F18,Taxa_från_edp!$B:$B,Taxa_från_edp!G:G),""""),"""") | =IF($F18<>"""",IFERROR(_xlfn.XLOOKUP($F18,Taxa_från_edp!$B:$B,Taxa_från_edp!K:K),""""),"""")"
Taxepunkter;19;0.1875;7;"§2.2.1 Hämtningsavgift per år för en- och tvåbostadshus | =IF($F19<>"""",$F19,IFERROR(_xlfn.XLOOKUP(ROW(),Taxa_Saknas!$H:$H,Taxa_Saknas!$G:$G),"""")) | =IF($F19<>"""",IFERROR(_xlfn.XLOOKUP($F19,Taxa_från_edp!$B:$B,Taxa_från_edp!C:C),""""),"""") | =IF($F19<>"""",IFERROR(_xlfn.XLOOKUP($F19,Taxa_från_edp!$B:$B,Taxa_från_edp!G:G),""""),"""") | =IF($F19<>"""",IFERROR(_xlfn.XLOOKUP($F19,Taxa_från_edp!$B:$B,Taxa_från_edp!K:K),""""),"""")"
Taxepunkter;25;0.1875;7;"§2.2.2 Hämtningsavgift per år för fritidshus inom hämtningsområde X | =IF($F25<>"""",$F25,IFERROR(_xlfn.XLOOKUP(ROW(),Taxa_Saknas!$H:$H,Taxa_Saknas!$G:$G),"""")) | =IF($F25<>"""",IFERROR(_xlfn.XLOOKUP($F25,Taxa_från_edp!$B:$B,Taxa_från_edp!C:C),""""),"""") | =IF($F25<>"""",IFERROR(_xlfn.XLOOKUP($F25,Taxa_från_edp!$B:$B,Taxa_från_edp!G:G),""""),"""") | =IF($F25<>"""",IFERROR(_xlfn.XLOOKUP($F25,Taxa_från_edp!$B:$B,Taxa_från_edp!K:K),""""),"""")"
Taxepunkter;30;0.1875;7;"§2.2.3 Gemensam uppsamlingsplats inom hämtningsområde X | =IF($F30<>"""",$F30,IFERROR(_xlfn.XLOOKUP(ROW(),Taxa_Saknas!$H:$H,Taxa_Saknas!$G:$G),"""")) | =IF($F30<>"""",IFERROR(_xlfn.XLOOKUP($F30,Taxa_från_edp!$B:$B,Taxa_från_edp!C:C),""""),"""") | =IF($F30<>"""",IFERROR(_xlfn.XLOOKUP($F30,Taxa_från_edp!$B:$B,Taxa_från_edp!G:G),""""),"""") | =IF($F30<>"""",IFERROR(_xlfn.XLOOKUP($F30,Taxa_från_edp!$B:$B,Taxa_från_edp!K:K),""""),"""")"
Taxepunkter_Rådata;1;0.9;12;Paragraf | Paragrafnamn | Taxapunkt | Variant | Enhet | Taxakod | Taxabeskrivning | Faktor | Aktuellt pris (exkl m) | Antal | Pris (kr) | Intäkt (kr)
Taxepunkter_Rådata;2;0.25;12;=Taxepunkter!A9 | =Taxepunkter!B9 | =Taxepunkter!C9 | =Taxepunkter!D9 | =Taxepunkter!E9 | =Taxepunkter!F9 | =Taxepunkter!G9 | =Taxepunkter!H9 | =Taxepunkter!I9 | =Taxepunkter!J9 | =Taxepunkter!K9 | =Taxepunkter!L9
Taxepunkter_Rådata;3;0.25;12;=Taxepunkter!A10 | =Taxepunkter!B10 | =Taxepunkter!C10 | =Taxepunkter!D10 | =Taxepunkter!E10 | =Taxepunkter!F10 | =Taxepunkter!G10 | =Taxepunkter!H10 | =Taxepunkter!I10 | =Taxepunkter!J10 | =Taxepunkter!K10 | =Taxepunkter!L10
Taxepunkter_Rådata;4;0.25;12;=Taxepunkter!A11 | =Taxepunkter!B11 | =Taxepunkter!C11 | =Taxepunkter!D11 | =Taxepunkter!E11 | =Taxepunkter!F11 | =Taxepunkter!G11 | =Taxepunkter!H11 | =Taxepunkter!I11 | =Taxepunkter!J11 | =Taxepunkter!K11 | =Taxepunkter!L11
Taxepunkter_Rådata;5;0.25;12;=Taxepunkter!A12 | =Taxepunkter!B12 | =Taxepunkter!C12 | =Taxepunkter!D12 | =Taxepunkter!E12 | =Taxepunkter!F12 | =Taxepunkter!G12 | =Taxepunkter!H12 | =Taxepunkter!I12 | =Taxepunkter!J12 | =Taxepunkter!K12 | =Taxepunkter!L12
Taxepunkter_Rådata;6;0.25;12;=Taxepunkter!A13 | =Taxepunkter!B13 | =Taxepunkter!C13 | =Taxepunkter!D13 | =Taxepunkter!E13 | =Taxepunkter!F13 | =Taxepunkter!G13 | =Taxepunkter!H13 | =Taxepunkter!I13 | =Taxepunkter!J13 | =Taxepunkter!K13 | =Taxepunkter!L13
Taxepunkter_Rådata;7;0.25;12;=Taxepunkter!A14 | =Taxepunkter!B14 | =Taxepunkter!C14 | =Taxepunkter!D14 | =Taxepunkter!E14 | =Taxepunkter!F14 | =Taxepunkter!G14 | =Taxepunkter!H14 | =Taxepunkter!I14 | =Taxepunkter!J14 | =Taxepunkter!K14 | =Taxepunkter!L14
Taxepunkter_Rådata;8;0.25;12;=Taxepunkter!A15 | =Taxepunkter!B15 | =Taxepunkter!C15 | =Taxepunkter!D15 | =Taxepunkter!E15 | =Taxepunkter!F15 | =Taxepunkter!G15 | =Taxepunkter!H15 | =Taxepunkter!I15 | =Taxepunkter!J15 | =Taxepunkter!K15 | =Taxepunkter!L15
Taxepunkter_Rådata;9;0.25;12;=Taxepunkter!A16 | =Taxepunkter!B16 | =Taxepunkter!C16 | =Taxepunkter!D16 | =Taxepunkter!E16 | =Taxepunkter!F16 | =Taxepunkter!G16 | =Taxepunkter!H16 | =Taxepunkter!I16 | =Taxepunkter!J16 | =Taxepunkter!K16 | =Taxepunkter!L16
Taxepunkter_Rådata;10;0.25;12;=Taxepunkter!A17 | =Taxepunkter!B17 | =Taxepunkter!C17 | =Taxepunkter!D17 | =Taxepunkter!E17 | =Taxepunkter!F17 | =Taxepunkter!G17 | =Taxepunkter!H17 | =Taxepunkter!I17 | =Taxepunkter!J17 | =Taxepunkter!K17 | =Taxepunkter!L17
Taxepunkter_Rådata;11;0.25;12;=Taxepunkter!A18 | =Taxepunkter!B18 | =Taxepunkter!C18 | =Taxepunkter!D18 | =Taxepunkter!E18 | =Taxepunkter!F18 | =Taxepunkter!G18 | =Taxepunkter!H18 | =Taxepunkter!I18 | =Taxepunkter!J18 | =Taxepunkter!K18 | =Taxepunkter!L18
Taxepunkter_Rådata;12;0.25;12;=Taxepunkter!A19 | =Taxepunkter!B19 | =Taxepunkter!C19 | =Taxepunkter!D19 | =Taxepunkter!E19 | =Taxepunkter!F19 | =Taxepunkter!G19 | =Taxepunkter!H19 | =Taxepunkter!I19 | =Taxepunkter!J19 | =Taxepunkter!K19 | =Taxepunkter!L19
Taxepunkter_Rådata;13;0.25;12;=Taxepunkter!A20 | =Taxepunkter!B20 | =Taxepunkter!C20 | =Taxepunkter!D20 | =Taxepunkter!E20 | =Taxepunkter!F20 | =Taxepunkter!G20 | =Taxepunkter!H20 | =Taxepunkter!I20 | =Taxepunkter!J20 | =Taxepunkter!K20 | =Taxepunkter!L20
Taxepunkter_Rådata;14;0.25;12;=Taxepunkter!A21 | =Taxepunkter!B21 | =Taxepunkter!C21 | =Taxepunkter!D21 | =Taxepunkter!E21 | =Taxepunkter!F21 | =Taxepunkter!G21 | =Taxepunkter!H21 | =Taxepunkter!I21 | =Taxepunkter!J21 | =Taxepunkter!K21 | =Taxepunkter!L21
Taxepunkter_Rådata;15;0.25;12;=Taxepunkter!A22 | =Taxepunkter!B22 | =Taxepunkter!C22 | =Taxepunkter!D22 | =Taxepunkter!E22 | =Taxepunkter!F22 | =Taxepunkter!G22 | =Taxepunkter!H22 | =Taxepunkter!I22 | =Taxepunkter!J22 | =Taxepunkter!K22 | =Taxepunkter!L22
Taxepunkter_Rådata;16;0.25;12;=Taxepunkter!A23 | =Taxepunkter!B23 | =Taxepunkter!C23 | =Taxepunkter!D23 | =Taxepunkter!E23 | =Taxepunkter!F23 | =Taxepunkter!G23 | =Taxepunkter!H23 | =Taxepunkter!I23 | =Taxepunkter!J23 | =Taxepunkter!K23 | =Taxepunkter!L23
Taxepunkter_Rådata;17;0.25;12;=Taxepunkter!A24 | =Taxepunkter!B24 | =Taxepunkter!C24 | =Taxepunkter!D24 | =Taxepunkter!E24 | =Taxepunkter!F24 | =Taxepunkter!G24 | =Taxepunkter!H24 | =Taxepunkter!I24 | =Taxepunkter!J24 | =Taxepunkter!K24 | =Taxepunkter!L24
Taxepunkter_Rådata;18;0.25;12;=Taxepunkter!A25 | =Taxepunkter!B25 | =Taxepunkter!C25 | =Taxepunkter!D25 | =Taxepunkter!E25 | =Taxepunkter!F25 | =Taxepunkter!G25 | =Taxepunkter!H25 | =Taxepunkter!I25 | =Taxepunkter!J25 | =Taxepunkter!K25 | =Taxepunkter!L25
Taxepunkter_Rådata;19;0.25;12;=Taxepunkter!A26 | =Taxepunkter!B26 | =Taxepunkter!C26 | =Taxepunkter!D26 | =Taxepunkter!E26 | =Taxepunkter!F26 | =Taxepunkter!G26 | =Taxepunkter!H26 | =Taxepunkter!I26 | =Taxepunkter!J26 | =Taxepunkter!K26 | =Taxepunkter!L26
Taxepunkter_Rådata;20;0.25;12;=Taxepunkter!A27 | =Taxepunkter!B27 | =Taxepunkter!C27 | =Taxepunkter!D27 | =Taxepunkter!E27 | =Taxepunkter!F27 | =Taxepunkter!G27 | =Taxepunkter!H27 | =Taxepunkter!I27 | =Taxepunkter!J27 | =Taxepunkter!K27 | =Taxepunkter!L27
Taxepunkter_Rådata;21;0.25;12;=Taxepunkter!A28 | =Taxepunkter!B28 | =Taxepunkter!C28 | =Taxepunkter!D28 | =Taxepunkter!E28 | =Taxepunkter!F28 | =Taxepunkter!G28 | =Taxepunkter!H28 | =Taxepunkter!I28 | =Taxepunkter!J28 | =Taxepunkter!K28 | =Taxepunkter!L28
Taxepunkter_Rådata;22;0.25;12;=Taxepunkter!A29 | =Taxepunkter!B29 | =Taxepunkter!C29 | =Taxepunkter!D29 | =Taxepunkter!E29 | =Taxepunkter!F29 | =Taxepunkter!G29 | =Taxepunkter!H29 | =Taxepunkter!I29 | =Taxepunkter!J29 | =Taxepunkter!K29 | =Taxepunkter!L29
Taxepunkter_Rådata;23;0.25;12;=Taxepunkter!A30 | =Taxepunkter!B30 | =Taxepunkter!C30 | =Taxepunkter!D30 | =Taxepunkter!E30 | =Taxepunkter!F30 | =Taxepunkter!G30 | =Taxepunkter!H30 | =Taxepunkter!I30 | =Taxepunkter!J30 | =Taxepunkter!K30 | =Taxepunkter!L30
Taxepunkter_Rådata;24;0.25;12;=Taxepunkter!A31 | =Taxepunkter!B31 | =Taxepunkter!C31 | =Taxepunkter!D31 | =Taxepunkter!E31 | =Taxepunkter!F31 | =Taxepunkter!G31 | =Taxepunkter!H31 | =Taxepunkter!I31 | =Taxepunkter!J31 | =Taxepunkter!K31 | =Taxepunkter!L31
Taxepunkter_Rådata;25;0.25;12;=Taxepunkter!A32 | =Taxepunkter!B32 | =Taxepunkter!C32 | =Taxepunkter!D32 | =Taxepunkter!E32 | =Taxepunkter!F32 | =Taxepunkter!G32 | =Taxepunkter!H32 | =Taxepunkter!I32 | =Taxepunkter!J32 | =Taxepunkter!K32 | =Taxepunkter!L32
Taxepunkter_Rådata;26;0.25;12;=Taxepunkter!A33 | =Taxepunkter!B33 | =Taxepunkter!C33 | =Taxepunkter!D33 | =Taxepunkter!E33 | =Taxepunkter!F33 | =Taxepunkter!G33 | =Taxepunkter!H33 | =Taxepunkter!I33 | =Taxepunkter!J33 | =Taxepunkter!K33 | =Taxepunkter!L33
Taxepunkter_Rådata;27;0.25;12;=Taxepunkter!A34 | =Taxepunkter!B34 | =Taxepunkter!C34 | =Taxepunkter!D34 | =Taxepunkter!E34 | =Taxepunkter!F34 | =Taxepunkter!G34 | =Taxepunkter!H34 | =Taxepunkter!I34 | =Taxepunkter!J34 | =Taxepunkter!K34 | =Taxepunkter!L34
Taxepunkter_Rådata;28;0.25;12;=Taxepunkter!A35 | =Taxepunkter!B35 | =Taxepunkter!C35 | =Taxepunkter!D35 | =Taxepunkter!E35 | =Taxepunkter!F35 | =Taxepunkter!G35 | =Taxepunkter!H35 | =Taxepunkter!I35 | =Taxepunkter!J35 | =Taxepunkter!K35 | =Taxepunkter!L35
Taxepunkter_Rådata;29;0.25;12;=Taxepunkter!A36 | =Taxepunkter!B36 | =Taxepunkter!C36 | =Taxepunkter!D36 | =Taxepunkter!E36 | =Taxepunkter!F36 | =Taxepunkter!G36 | =Taxepunkter!H36 | =Taxepunkter!I36 | =Taxepunkter!J36 | =Taxepunkter!K36 | =Taxepunkter!L36
Taxepunkter_Rådata;30;0.25;12;=Taxepunkter!A37 | =Taxepunkter!B37 | =Taxepunkter!C37 | =Taxepunkter!D37 | =Taxepunkter!E37 | =Taxepunkter!F37 | =Taxepunkter!G37 | =Taxepunkter!H37 | =Taxepunkter!I37 | =Taxepunkter!J37 | =Taxepunkter!K37 | =Taxepunkter!L37
Taxa_från_edp;1;0.8542;17;intRecnum | strTaxekod | strTaxebenamning | strProdukt | strDelProdukt | bytDelradnr | strFaktor | strTaxedelAvser | strEntreprenorkod | strRenhDistrKod | curNuvarandePris | datNuvarandePrisDatum | bolPrisPerTomning | strAvvikandeFormel | bolPriserInklMoms | bytMomskod | strFormel
Taxa_från_edp;4;0.225;14;15 | AFC | AVLOPP FRITIDSHUS CAMPING | VA | AVL | 1 | ÅRKV | Avlopp fritidshus | 1112 | 2009-01-01 00:00:00 | 0
Taxa_från_edp;5;0.225;14;16 | AKUT | EXTRAAVGIFT AKUT SLAMTÖMNING | RENH | SLAM | 1 | KVAN | Extraavg akut slamtömning | 640 | 2020-04-01 00:00:00 | 0
Taxa_från_edp;6;0.225;14;178 | AKUTSÄCK | Avgift för akutsäck | RENH | HUSH | 1 | KVAN | Avgift för akutsäck | 160 | 2023-10-01 00:00:00 | 0
Taxa_från_edp;11;0.225;14;127 | ANL03SL | Tömning slamanläggning | RENH | SLAM | 1 | KVAN | Tömning av slamanläggning | 1420 | 2025-01-01 00:00:00 | 0
Taxa_från_edp;12;0.225;14;128 | ANL36SL | Tömning slamanläggning 3,1-6 m³ | RENH | SLAM | 1 | KVAN | Tömning av slamanlägg. 3,1-6 | 1920 | 2025-01-01 00:00:00 | 0
Taxa_från_edp;13;0.225;14;294 | ANLSLBASTÖM | Tömning slam från Reningsverksbassäng | RENH | SLAM | 1 | KVAN | Tömning slam från Reningsverksbassäng | 0 | 2025-01-01 00:00:00 | 0
Taxa_från_edp;14;0.225;14;129 | ANLÖ6SL | Tömning slamanläggning över 6 m³ | RENH | SLAM | 1 | KVAN | Tömning av slamanlägg över 6 m³ | 2448 | 2025-01-01 00:00:00 | 0
Taxa_från_edp;17;0.225;14;293 | BASSLORDKOM | Reningsverksbassäng, slam. Ord. tur Kommunal | RENH | SLAM | 1 | ÅRKV | Reningsverksbassäng, slam. Ord. tur Kommunal | 0 | 2023-01-01 00:00:00 | 0
Taxa_från_edp;18;0.225;14;115 | BDT03SLBUD | BDT 0-3 m³, slam. Budning | RENH | SLAM | 1 | ÅRKV | BDT 0-3 m³, slam. Budning | 800 | 2025-01-01 00:00:00 | 0
Taxa_från_edp;19;0.225;14;142 | BDT03SLORD | BDT 0-3 m³, slam. Ordinarie tur | RENH | SLAM | 1 | ÅRKV | BDT 0-3 m³, slam. Ord. tur | 1420 | 2025-01-01 00:00:00 | 0
Taxa_från_edp;20;0.225;14;116 | BDT36SLBUD | BDT 3,1-6 m³, slam. Budning | RENH | SLAM | 1 | ÅRKV | BDT 3,1-6 m³, slam. Budning | 0 | 2023-01-01 00:00:00 | 0
Taxa_från_edp;21;0.225;14;143 | BDT36SLORD | BDT 3,1-6 m³, slam. Ord. tur | RENH | SLAM | 1 | ÅRKV | BDT 3,1-6 m³, slam. Ord. tur | 0 | 2023-01-01 00:00:00 | 0
