Index;Section;Original tax point;Enriched tax point;Section context;Property context;Waste context;Service context;Container context;Confidence;Notes
11;2.2.2;Kärl 240 l (mat-/restavfall);Kärl 240 l (mat-/restavfall) [Hushåll Flerbostadshus Extra];Hushåll;Flerbostadshus;Restavfall;Extra;Kärl;0.90;Kontext ärvd från sektion/rubrik/närliggande rader.
12;2.2.2;Extrakärl 190 l (restavfall);Extrakärl 190 l (restavfall) [Hushåll Flerbostadshus];Hushåll;Flerbostadshus;Restavfall;Extra;Kärl;0.90;Kontext ärvd från sektion/rubrik/närliggande rader.
13;2.2.3;Gemensam uppsamlingsplats för mat-/restavfall;Gemensam uppsamlingsplats för mat-/restavfall [Hushåll Flerbostadshus Extra Kärl];Hushåll;Flerbostadshus;Restavfall;Extra;Kärl;0.90;Kontext ärvd från sektion/rubrik/närliggande rader.
14;2.2.3;Extra digital licens (årskostnad);Extra digital licens (årskostnad) [Hushåll Flerbostadshus Träavfall Kärl];Hushåll;Flerbostadshus;Träavfall;Extra;Kärl;0.90;Kontext ärvd från sektion/rubrik/närliggande rader.
15;2.2.3;Fysisk nyckel, kallad fob (engångskostnad);Fysisk nyckel, kallad fob (engångskostnad) [Hushåll Flerbostadshus Träavfall Extra Kärl];Hushåll;Flerbostadshus;Träavfall;Extra;Kärl;0.90;Kontext ärvd från sektion/rubrik/närliggande rader.
16;2.2.3;Byte av telefonnummer kopplat till licens;Byte av telefonnummer kopplat till licens [Hushåll Flerbostadshus Träavfall Kärl];Hushåll;Flerbostadshus;Träavfall;Byte;Kärl;0.90;Kontext ärvd från sektion/rubrik/närliggande rader.
17;2.2.3;Kostnad för öppning av behållare;Kostnad för öppning av behållare [Hushåll Flerbostadshus Träavfall Byte Kärl];Hushåll;Flerbostadshus;Träavfall;Byte;Kärl;0.90;Kontext ärvd från sektion/rubrik/närliggande rader.
18;2.2.4;Kärl 240 l (mat-/restavfall);Kärl 240 l (mat-/restavfall) [Hushåll Flerbostadshus Byte];Hushåll;Flerbostadshus;Restavfall;Byte;Kärl;0.90;Kontext ärvd från sektion/rubrik/närliggande rader.
19;2.2.4;Kärl 370 l (restavfall);Kärl 370 l (restavfall) [Hushåll Flerbostadshus Byte];Hushåll;Flerbostadshus;Restavfall;Byte;Kärl;0.90;Kontext ärvd från sektion/rubrik/närliggande rader.
20;2.2.4;Kärl 660 l (restavfall);Kärl 660 l (restavfall) [Hushåll Flerbostadshus Byte];Hushåll;Flerbostadshus;Restavfall;Byte;Kärl;0.90;Kontext ärvd från sektion/rubrik/närliggande rader.
21;2.2.4;Kärl 140 l (matavfall);Kärl 140 l (matavfall) [Hushåll Flerbostadshus Byte];Hushåll;Flerbostadshus;Matavfall;Byte;Kärl;0.90;Kontext ärvd från sektion/rubrik/närliggande rader.
22;2.2.4;Kärl 190 l (förpackningar);Kärl 190 l (förpackningar) [Hushåll Flerbostadshus Byte];Hushåll;Flerbostadshus;Förpackningar;Byte;Kärl;0.90;Kontext ärvd från sektion/rubrik/närliggande rader.
23;2.2.4;Kärl 370 l (förpackningar);Kärl 370 l (förpackningar) [Hushåll Flerbostadshus Byte];Hushåll;Flerbostadshus;Förpackningar;Byte;Kärl;0.90;Kontext ärvd från sektion/rubrik/närliggande rader.
24;2.2.4;Kärl 660 l (förpackningar);Kärl 660 l (förpackningar) [Hushåll Flerbostadshus Byte];Hushåll;Flerbostadshus;Förpackningar;Byte;Kärl;0.90;Kontext ärvd från sektion/rubrik/närliggande rader.
25;2.2.4;Kärl 190 l (tidningar och returpapper);Kärl 190 l (tidningar och returpapper) [Hushåll Flerbostadshus Förpackningar Byte];Hushåll;Flerbostadshus;Förpackningar;Byte;Kärl;0.90;Kontext ärvd från sektion/rubrik/närliggande rader.
26;2.2.4;Kärl 370 l (tidningar och returpapper);Kärl 370 l (tidningar och returpapper) [Hushåll Flerbostadshus Förpackningar Byte];Hushåll;Flerbostadshus;Förpackningar;Byte;Kärl;0.90;Kontext ärvd från sektion/rubrik/närliggande rader.
27;2.2.4;(mat-/restavfall, förpackningar);(mat-/restavfall, förpackningar) [Hushåll Flerbostadshus Byte Kärl];Hushåll;Flerbostadshus;Restavfall;Byte;Kärl;0.90;Kontext ärvd från sektion/rubrik/närliggande rader. | Kort taxarad – kontext är extra viktig.
28;2.2.5;Kärl 240 l (mat-/restavfall);Kärl 240 l (mat-/restavfall) [Hushåll Flerbostadshus Byte];Hushåll;Flerbostadshus;Restavfall;Byte;Kärl;0.90;Kontext ärvd från sektion/rubrik/närliggande rader.
29;2.2.5;Kärl 370 l (restavfall);Kärl 370 l (restavfall) [Hushåll Flerbostadshus Byte];Hushåll;Flerbostadshus;Restavfall;Byte;Kärl;0.90;Kontext ärvd från sektion/rubrik/närliggande rader.
30;2.2.5;Kärl 660 l (restavfall);Kärl 660 l (restavfall) [Hushåll Flerbostadshus Byte];Hushåll;Flerbostadshus;Restavfall;Byte;Kärl;0.90;Kontext ärvd från sektion/rubrik/närliggande rader.
31;2.2.5;Kärl 140 l (matavfall);Kärl 140 l (matavfall) [Hushåll Flerbostadshus Byte];Hushåll;Flerbostadshus;Matavfall;Byte;Kärl;0.90;Kontext ärvd från sektion/rubrik/närliggande rader.
32;2.2.5;Bottentömmande behållare (mat-/restavfall);Bottentömmande behållare (mat-/restavfall) [Hushåll Flerbostadshus Byte Kärl];Hushåll;Flerbostadshus;Restavfall;Byte;Kärl;0.90;Kontext ärvd från sektion/rubrik/närliggande rader.
33;2.2.5;Lastväxlarflak (restavfall);Lastväxlarflak (restavfall) [Hushåll Flerbostadshus Byte Kärl];Hushåll;Flerbostadshus;Restavfall;Byte;Kärl;0.90;Kontext ärvd från sektion/rubrik/närliggande rader. | Kort taxarad – kontext är extra viktig.
34;2.2.6;Kärl 240 l (mat-/restavfall);Kärl 240 l (mat-/restavfall) [Hushåll Flerbostadshus Byte];Hushåll;Flerbostadshus;Restavfall;Byte;Kärl;0.90;Kontext ärvd från sektion/rubrik/närliggande rader.
35;2.2.6;Kärl 370 l (restavfall);Kärl 370 l (restavfall) [Hushåll Flerbostadshus Byte];Hushåll;Flerbostadshus;Restavfall;Byte;Kärl;0.90;Kontext ärvd från sektion/rubrik/närliggande rader.
36;2.2.6;Kärl 660 l (restavfall);Kärl 660 l (restavfall) [Hushåll Flerbostadshus Byte];Hushåll;Flerbostadshus;Restavfall;Byte;Kärl;0.90;Kontext ärvd från sektion/rubrik/närliggande rader.
37;2.2.6;Kärl 140 l (matavfall);Kärl 140 l (matavfall) [Hushåll Flerbostadshus Byte];Hushåll;Flerbostadshus;Matavfall;Byte;Kärl;0.90;Kontext ärvd från sektion/rubrik/närliggande rader.
38;2.2.6;Bottentömmande behållare (mat-/restavfall);Bottentömmande behållare (mat-/restavfall) [Hushåll Flerbostadshus Byte Kärl];Hushåll;Flerbostadshus;Restavfall;Byte;Kärl;0.90;Kontext ärvd från sektion/rubrik/närliggande rader.
39;2.2.6;Lastväxlarflak (restavfall);Lastväxlarflak (restavfall) [Hushåll Flerbostadshus Byte Kärl];Hushåll;Flerbostadshus;Restavfall;Byte;Kärl;0.90;Kontext ärvd från sektion/rubrik/närliggande rader. | Kort taxarad – kontext är extra viktig.
40;2.2.7;Kärl 140 l (kontors-/returpapper);Kärl 140 l (kontors-/returpapper) [Hushåll Flerbostadshus Restavfall Byte];Hushåll;Flerbostadshus;Restavfall;Byte;Kärl;0.90;Kontext ärvd från sektion/rubrik/närliggande rader.
41;2.2.7;Egen överlämning av förbrukat kontors-/returpapper enligt anvisning;Egen överlämning av förbrukat kontors-/returpapper enligt anvisning [Hushåll Flerbostadshus Restavfall Byte Kärl];Hushåll;Flerbostadshus;Restavfall;Byte;Kärl;0.90;Kontext ärvd från sektion/rubrik/närliggande rader.
42;2.2.7;Egen överlämning av förbrukat matfett enligt anvisning;Egen överlämning av förbrukat matfett enligt anvisning [Hushåll Flerbostadshus Restavfall Byte Kärl];Hushåll;Flerbostadshus;Restavfall;Byte;Kärl;0.90;Kontext ärvd från sektion/rubrik/närliggande rader.
43;2.3;Viktavgift matavfall;Viktavgift matavfall [Hushåll Flerbostadshus Byte Kärl];Hushåll;Flerbostadshus;Matavfall;Byte;Kärl;0.90;Kontext ärvd från sektion/rubrik/närliggande rader. | Kort taxarad – kontext är extra viktig.
44;2.3;Viktavgift restavfall;Viktavgift restavfall [Hushåll Flerbostadshus Byte Kärl];Hushåll;Flerbostadshus;Restavfall;Byte;Kärl;0.90;Kontext ärvd från sektion/rubrik/närliggande rader. | Kort taxarad – kontext är extra viktig.
45;2.3;Lyftavgift kärl;Lyftavgift kärl [Hushåll Flerbostadshus Restavfall Byte];Hushåll;Flerbostadshus;Restavfall;Byte;Kärl;0.90;Kontext ärvd från sektion/rubrik/närliggande rader. | Kort taxarad – kontext är extra viktig.
46;2.4.1;Fakturavgift;Fakturavgift [Hushåll Flerbostadshus Restavfall Byte Kärl];Hushåll;Flerbostadshus;Restavfall;Byte;Kärl;0.90;Kontext ärvd från sektion/rubrik/närliggande rader. | Kort taxarad – kontext är extra viktig.
47;2.4.2;Delat kärl 240 l matavfall 40 kg;Delat kärl 240 l matavfall 40 kg [Hushåll Flerbostadshus Byte];Hushåll;Flerbostadshus;Matavfall;Byte;Kärl;0.90;Kontext ärvd från sektion/rubrik/närliggande rader.
48;2.4.2;Delat kärl 240 l restavfall 40 kg;Delat kärl 240 l restavfall 40 kg [Hushåll Flerbostadshus Byte];Hushåll;Flerbostadshus;Restavfall;Byte;Kärl;0.90;Kontext ärvd från sektion/rubrik/närliggande rader.
49;2.4.2;Extra kärl 140 l matavfall 60 kg;Extra kärl 140 l matavfall 60 kg [Hushåll Flerbostadshus];Hushåll;Flerbostadshus;Matavfall;Extra;Kärl;0.90;Kontext ärvd från sektion/rubrik/närliggande rader.
50;2.4.2;Extra kärl 140-190 l restavfall 60 kg;Extra kärl 140-190 l restavfall 60 kg [Hushåll Flerbostadshus];Hushåll;Flerbostadshus;Restavfall;Extra;Kärl;0.90;Kontext ärvd från sektion/rubrik/närliggande rader.
51;2.4.2;Kärl 370 l restavfall 60 kg;Kärl 370 l restavfall 60 kg [Hushåll Flerbostadshus Extra];Hushåll;Flerbostadshus;Restavfall;Extra;Kärl;0.90;Kontext ärvd från sektion/rubrik/närliggande rader.
52;2.4.2;Kärl 660 l restavfall 100 kg;Kärl 660 l restavfall 100 kg [Hushåll Flerbostadshus Extra];Hushåll;Flerbostadshus;Restavfall;Extra;Kärl;0.90;Kontext ärvd från sektion/rubrik/närliggande rader.
53;2.4.3;Överfullt kärl;Överfullt kärl [Hushåll Flerbostadshus Restavfall Extra];Hushåll;Flerbostadshus;Restavfall;Extra;Kärl;0.90;Kontext ärvd från sektion/rubrik/närliggande rader. | Kort taxarad – kontext är extra viktig.
54;2.4.3;Överfull bottentömmande behållare;Överfull bottentömmande behållare [Hushåll Flerbostadshus Restavfall Extra Kärl];Hushåll;Flerbostadshus;Restavfall;Extra;Kärl;0.90;Kontext ärvd från sektion/rubrik/närliggande rader.
55;2.4.4;Byte av trasigt kärl vid oaktsamhet;Byte av trasigt kärl vid oaktsamhet [Hushåll Flerbostadshus Träavfall];Hushåll;Flerbostadshus;Träavfall;Byte;Kärl;0.90;Kontext ärvd från sektion/rubrik/närliggande rader.
56;2.4.5;Byte/återtag av kärl en (1) ggr/år 140–240 liter;Byte/återtag av kärl en (1) ggr/år 140–240 liter [Hushåll Flerbostadshus Träavfall];Hushåll;Flerbostadshus;Träavfall;Byte;Kärl;0.90;Kontext ärvd från sektion/rubrik/närliggande rader.
57;2.4.5;Byte/återtag av kärl en (1) ggr/år 370–660 liter;Byte/återtag av kärl en (1) ggr/år 370–660 liter [Hushåll Flerbostadshus Träavfall];Hushåll;Flerbostadshus;Träavfall;Byte;Kärl;0.90;Kontext ärvd från sektion/rubrik/närliggande rader.
58;2.4.5;Ytterligare byte av kärl under kalenderåret;Ytterligare byte av kärl under kalenderåret [Hushåll Flerbostadshus Träavfall];Hushåll;Flerbostadshus;Träavfall;Byte;Kärl;0.90;Kontext ärvd från sektion/rubrik/närliggande rader.
59;2.4.6;Kärl;Kärl [Hushåll Flerbostadshus Träavfall Byte];Hushåll;Flerbostadshus;Träavfall;Byte;Kärl;0.90;Kontext ärvd från sektion/rubrik/närliggande rader. | Kort taxarad – kontext är extra viktig.
60;2.4.6;Bottentömmande behållare;Bottentömmande behållare [Hushåll Flerbostadshus Träavfall Byte Kärl];Hushåll;Flerbostadshus;Träavfall;Byte;Kärl;0.90;Kontext ärvd från sektion/rubrik/närliggande rader. | Kort taxarad – kontext är extra viktig.
61;2.4.7;Kärl 140-660 L 1,5-10;Kärl 140-660 L 1,5-10 [Hushåll Flerbostadshus Träavfall Byte];Hushåll;Flerbostadshus;Träavfall;Byte;Kärl;0.90;Kontext ärvd från sektion/rubrik/närliggande rader.
62;2.4.7;Kärl 140-660 L 10-20;Kärl 140-660 L 10-20 [Hushåll Flerbostadshus Träavfall Byte];Hushåll;Flerbostadshus;Träavfall;Byte;Kärl;0.90;Kontext ärvd från sektion/rubrik/närliggande rader.
63;2.4.7;Kärl 140-660 L 20-30;Kärl 140-660 L 20-30 [Hushåll Flerbostadshus Träavfall Byte];Hushåll;Flerbostadshus;Träavfall;Byte;Kärl;0.90;Kontext ärvd från sektion/rubrik/närliggande rader.
64;2.4.7;Avfallsport/dörr;Avfallsport/dörr [Hushåll Flerbostadshus Träavfall Byte Kärl];Hushåll;Flerbostadshus;Träavfall;Byte;Kärl;0.90;Kontext ärvd från sektion/rubrik/närliggande rader. | Kort taxarad – kontext är extra viktig.
65;2.4.7;Låst dörr, med kod;Låst dörr, med kod [Hushåll Flerbostadshus Träavfall Byte Kärl];Hushåll;Flerbostadshus;Träavfall;Byte;Kärl;0.90;Kontext ärvd från sektion/rubrik/närliggande rader.
66;2.4.8;Kärl 140 l matavfall;Kärl 140 l matavfall [Hushåll Flerbostadshus Byte];Hushåll;Flerbostadshus;Matavfall;Byte;Kärl;0.90;Kontext ärvd från sektion/rubrik/närliggande rader.
67;2.4.8;Kärl 190 l restavfall;Kärl 190 l restavfall [Hushåll Flerbostadshus Byte];Hushåll;Flerbostadshus;Restavfall;Byte;Kärl;0.90;Kontext ärvd från sektion/rubrik/närliggande rader.
68;2.4.8;Kärl 370 l restavfall;Kärl 370 l restavfall [Hushåll Flerbostadshus Byte];Hushåll;Flerbostadshus;Restavfall;Byte;Kärl;0.90;Kontext ärvd från sektion/rubrik/närliggande rader.
69;2.4.8;Kärl 660 l restavfall;Kärl 660 l restavfall [Hushåll Flerbostadshus Byte];Hushåll;Flerbostadshus;Restavfall;Byte;Kärl;0.90;Kontext ärvd från sektion/rubrik/närliggande rader.
70;2.4.8;Bottentömmande behållare;Bottentömmande behållare [Hushåll Flerbostadshus Restavfall Byte Kärl];Hushåll;Flerbostadshus;Restavfall;Byte;Kärl;0.90;Kontext ärvd från sektion/rubrik/närliggande rader. | Kort taxarad – kontext är extra viktig.
71;2.4.9;Sidlastande fordon;Sidlastande fordon [Hushåll Flerbostadshus Restavfall Byte Kärl];Hushåll;Flerbostadshus;Restavfall;Byte;Kärl;0.90;Kontext ärvd från sektion/rubrik/närliggande rader. | Kort taxarad – kontext är extra viktig.
72;2.4.9;Bottentömmande fordon;Bottentömmande fordon [Hushåll Flerbostadshus Restavfall Byte Kärl];Hushåll;Flerbostadshus;Restavfall;Byte;Kärl;0.90;Kontext ärvd från sektion/rubrik/närliggande rader. | Kort taxarad – kontext är extra viktig.
73;2.4.9;Tömningsavgift per behållare;Tömningsavgift per behållare [Hushåll Flerbostadshus Restavfall Hämtning/tömning Kärl];Hushåll;Flerbostadshus;Restavfall;Hämtning/tömning;Kärl;0.90;Kontext ärvd från sektion/rubrik/närliggande rader.
74;2.4.10;Betalsäck;Betalsäck [Hushåll Flerbostadshus Restavfall Hämtning/tömning];Hushåll;Flerbostadshus;Restavfall;Hämtning/tömning;Säck;0.90;Kontext ärvd från sektion/rubrik/närliggande rader. | Kort taxarad – kontext är extra viktig.
75;2.4.10;Akutsäck;Akutsäck [Hushåll Flerbostadshus Restavfall Hämtning/tömning];Hushåll;Flerbostadshus;Restavfall;Hämtning/tömning;Säck;0.90;Kontext ärvd från sektion/rubrik/närliggande rader. | Kort taxarad – kontext är extra viktig.
76;2.4.11;Matavfallspåsar 9 L;Matavfallspåsar 9 L [Hushåll Flerbostadshus Hämtning/tömning Säck];Hushåll;Flerbostadshus;Matavfall;Hämtning/tömning;Säck;0.90;Kontext ärvd från sektion/rubrik/närliggande rader.
77;2.4.11;Matavfallspåsar 22 L;Matavfallspåsar 22 L [Hushåll Flerbostadshus Hämtning/tömning Säck];Hushåll;Flerbostadshus;Matavfall;Hämtning/tömning;Säck;0.90;Kontext ärvd från sektion/rubrik/närliggande rader.
78;2.4.11;Gravitationslås till kärl;Gravitationslås till kärl [Hushåll Flerbostadshus Matavfall Hämtning/tömning];Hushåll;Flerbostadshus;Matavfall;Hämtning/tömning;Kärl;0.90;Kontext ärvd från sektion/rubrik/närliggande rader.
79;2.4.11;Extra nyckel till gravitationslås;Extra nyckel till gravitationslås [Hushåll Flerbostadshus Träavfall Kärl];Hushåll;Flerbostadshus;Träavfall;Extra;Kärl;0.90;Kontext ärvd från sektion/rubrik/närliggande rader.
80;2.5.1;Kommunalt avfall;Kommunalt avfall [Hushåll Flerbostadshus Träavfall Extra Kärl];Hushåll;Flerbostadshus;Träavfall;Extra;Kärl;0.90;Kontext ärvd från sektion/rubrik/närliggande rader. | Kort taxarad – kontext är extra viktig.
81;2.5.1;Farligt avfall (ej uppmärkt);Farligt avfall (ej uppmärkt) [Hushåll Flerbostadshus Extra Kärl];Hushåll;Flerbostadshus;Farligt avfall;Extra;Kärl;0.90;Kontext ärvd från sektion/rubrik/närliggande rader.
82;2.5.1;Farligt avfall (uppmärkt);Farligt avfall (uppmärkt) [Hushåll Flerbostadshus Extra Kärl];Hushåll;Flerbostadshus;Farligt avfall;Extra;Kärl;0.90;Kontext ärvd från sektion/rubrik/närliggande rader.
83;2.5.1;Avisering av ankomst;Avisering av ankomst [Hushåll Flerbostadshus Farligt avfall Extra Kärl];Hushåll;Flerbostadshus;Farligt avfall;Extra;Kärl;0.90;Kontext ärvd från sektion/rubrik/närliggande rader.
84;3.1;Upp till 3 m3;Upp till 3 m3 [Flerbostad/verksamhet Flerbostadshus Farligt avfall Extra Kärl];Flerbostad/verksamhet;Flerbostadshus;Farligt avfall;Extra;Kärl;0.90;Kontext ärvd från sektion/rubrik/närliggande rader.
85;3.1;Mellan 3 m3 och 6 m3;Mellan 3 m3 och 6 m3 [Flerbostad/verksamhet Flerbostadshus Farligt avfall Extra Kärl];Flerbostad/verksamhet;Flerbostadshus;Farligt avfall;Extra;Kärl;0.90;Kontext ärvd från sektion/rubrik/närliggande rader.
86;3.1;Mellan 6 m3 och 9 m3;Mellan 6 m3 och 9 m3 [Flerbostad/verksamhet Flerbostadshus Farligt avfall Extra Kärl];Flerbostad/verksamhet;Flerbostadshus;Farligt avfall;Extra;Kärl;0.90;Kontext ärvd från sektion/rubrik/närliggande rader.
87;3.1;Tillägg per m3 över 9 m3;Tillägg per m3 över 9 m3 [Flerbostad/verksamhet Flerbostadshus Farligt avfall Extra Kärl];Flerbostad/verksamhet;Flerbostadshus;Farligt avfall;Extra;Kärl;0.90;Kontext ärvd från sektion/rubrik/närliggande rader.
88;3.1;Bad-, disk- och tvättbrunn upp till 3 m3;Bad-, disk- och tvättbrunn upp till 3 m3 [Flerbostad/verksamhet Flerbostadshus Farligt avfall Extra];Flerbostad/verksamhet;Flerbostadshus;Farligt avfall;Extra;Brunn;0.90;Kontext ärvd från sektion/rubrik/närliggande rader.
89;3.1;Tillägg per m3 över 3 m3;Tillägg per m3 över 3 m3 [Flerbostad/verksamhet Flerbostadshus Farligt avfall Extra Brunn];Flerbostad/verksamhet;Flerbostadshus;Farligt avfall;Extra;Brunn;0.90;Kontext ärvd från sektion/rubrik/närliggande rader.
90;3.2;Dragning av extra slang vid 5-25 m;Dragning av extra slang vid 5-25 m [Flerbostad/verksamhet Flerbostadshus Träavfall Brunn];Flerbostad/verksamhet;Flerbostadshus;Träavfall;Extra;Brunn;0.90;Kontext ärvd från sektion/rubrik/närliggande rader.
91;3.2;Dragning av extra slang vid 25-35 m;Dragning av extra slang vid 25-35 m [Flerbostad/verksamhet Flerbostadshus Träavfall Brunn];Flerbostad/verksamhet;Flerbostadshus;Träavfall;Extra;Brunn;0.90;Kontext ärvd från sektion/rubrik/närliggande rader.
92;3.2;Dragning av extra slang vid 36-45 m;Dragning av extra slang vid 36-45 m [Flerbostad/verksamhet Flerbostadshus Träavfall Brunn];Flerbostad/verksamhet;Flerbostadshus;Träavfall;Extra;Brunn;0.90;Kontext ärvd från sektion/rubrik/närliggande rader.
93;3.2;Dragning av extra slang vid 46-55 m;Dragning av extra slang vid 46-55 m [Flerbostad/verksamhet Flerbostadshus Träavfall Brunn];Flerbostad/verksamhet;Flerbostadshus;Träavfall;Extra;Brunn;0.90;Kontext ärvd från sektion/rubrik/närliggande rader.
94;3.2;Hantering av brunnslock som väger 15-25 kg;Hantering av brunnslock som väger 15-25 kg [Flerbostad/verksamhet Flerbostadshus Träavfall Extra];Flerbostad/verksamhet;Flerbostadshus;Träavfall;Extra;Brunn;0.90;Kontext ärvd från sektion/rubrik/närliggande rader.
95;3.2;Krav på information om tömningstid;Krav på information om tömningstid [Flerbostad/verksamhet Flerbostadshus Träavfall Hämtning/tömning Brunn];Flerbostad/verksamhet;Flerbostadshus;Träavfall;Hämtning/tömning;Brunn;0.90;Kontext ärvd från sektion/rubrik/närliggande rader.
96;3.2;Krav på närvaro vid specificerad tömningstid;Krav på närvaro vid specificerad tömningstid [Flerbostad/verksamhet Flerbostadshus Träavfall Hämtning/tömning Brunn];Flerbostad/verksamhet;Flerbostadshus;Träavfall;Hämtning/tömning;Brunn;0.90;Kontext ärvd från sektion/rubrik/närliggande rader.
97;3.2;Hantering av kod för kodlås vid slamtömning;Hantering av kod för kodlås vid slamtömning [Flerbostad/verksamhet Flerbostadshus Hämtning/tömning Brunn];Flerbostad/verksamhet;Flerbostadshus;Slam;Hämtning/tömning;Brunn;0.90;Kontext ärvd från sektion/rubrik/närliggande rader.
98;3.2;Hetvattentvätt med spolbil, timersättning;Hetvattentvätt med spolbil, timersättning [Flerbostad/verksamhet Flerbostadshus Slam Hämtning/tömning Brunn];Flerbostad/verksamhet;Flerbostadshus;Slam;Hämtning/tömning;Brunn;0.90;Kontext ärvd från sektion/rubrik/närliggande rader.
99;3.2;Tömning av extra tank/brunn i samband med ordinarie/budad tömning upp till 5 m3;Tömning av extra tank/brunn i samband med ordinarie/budad tömning upp till 5 m3 [Flerbostad/verksamhet Flerbostadshus Träavfall Hämtning/tömning];Flerbostad/verksamhet;Flerbostadshus;Träavfall;Hämtning/tömning;Brunn;0.90;Kontext ärvd från sektion/rubrik/närliggande rader.
100;3.3;Budning inom ordinarie tömningsperiod (1 maj- 31 oktober);Budning inom ordinarie tömningsperiod (1 maj- 31 oktober) [Flerbostad/verksamhet Flerbostadshus Träavfall Hämtning/tömning Brunn];Flerbostad/verksamhet;Flerbostadshus;Träavfall;Hämtning/tömning;Brunn;0.90;Kontext ärvd från sektion/rubrik/närliggande rader.
101;3.3;Budning utanför ordinarie tömningsperiod (1 nov – 30 april);Budning utanför ordinarie tömningsperiod (1 nov – 30 april) [Flerbostad/verksamhet Flerbostadshus Träavfall Hämtning/tömning Brunn];Flerbostad/verksamhet;Flerbostadshus;Träavfall;Hämtning/tömning;Brunn;0.90;Kontext ärvd från sektion/rubrik/närliggande rader.
102;3.3;Tömning av toalettvagnar eller liknande /styck;Tömning av toalettvagnar eller liknande /styck [Flerbostad/verksamhet Flerbostadshus Träavfall Hämtning/tömning Brunn];Flerbostad/verksamhet;Flerbostadshus;Träavfall;Hämtning/tömning;Brunn;0.90;Kontext ärvd från sektion/rubrik/närliggande rader.
103;3.4;Latrinbehållare 37 liter inkl. mottagning och behandling;Latrinbehållare 37 liter inkl. mottagning och behandling [Flerbostad/verksamhet Flerbostadshus Träavfall Mottagning/behandling];Flerbostad/verksamhet;Flerbostadshus;Träavfall;Mottagning/behandling;Latrin;0.90;Kontext ärvd från sektion/rubrik/närliggande rader.
104;4.1;Filtermassor upp till 500 kg;Filtermassor upp till 500 kg [Tilläggstjänst Flerbostadshus Träavfall Mottagning/behandling Latrin];Tilläggstjänst;Flerbostadshus;Träavfall;Mottagning/behandling;Latrin;0.90;Kontext ärvd från sektion/rubrik/närliggande rader.
105;4.1;Filtermassor 500-1000 kg;Filtermassor 500-1000 kg [Tilläggstjänst Flerbostadshus Träavfall Mottagning/behandling Latrin];Tilläggstjänst;Flerbostadshus;Träavfall;Mottagning/behandling;Latrin;0.90;Kontext ärvd från sektion/rubrik/närliggande rader.
106;4.2;Krav på information om hämtningstid;Krav på information om hämtningstid [Tilläggstjänst Flerbostadshus Träavfall Hämtning/tömning Latrin];Tilläggstjänst;Flerbostadshus;Träavfall;Hämtning/tömning;Latrin;0.90;Kontext ärvd från sektion/rubrik/närliggande rader.
107;4.2;Krav på närvaro vid specificerad hämtningstid;Krav på närvaro vid specificerad hämtningstid [Tilläggstjänst Flerbostadshus Träavfall Hämtning/tömning Latrin];Tilläggstjänst;Flerbostadshus;Träavfall;Hämtning/tömning;Latrin;0.90;Kontext ärvd från sektion/rubrik/närliggande rader.
